MODULE,CONTRACT_REF_NO,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,EVENT_SEQ_NO,EVENT_DATE,EVENT_CODE,CONTRACT_STATUS,AUTH_STATUS,NEW_VERSION_INDICATOR,REVERSED_EVENT_SEQ_NO,EVENT_VALUE_DATE,ECA_STATUS,WORKFLOW_STATUS,RATE_REVISION_STATUS,RELEASE_BY,RELEASE_DT_STAMP,RATE_ASSIGNED_BY,RATE_ASSIGN_DT_STAMP,RATE_ASSIGN_AUTH_BY,RATE_ASSIGN_AUTH_DT_STAMP,INFORM_STATUS,TRN_TYPE,CUTOFF_STATUS,CUTOFF_EVENT_SEQ_NO,TXN_ID,TXN_BRANCH
MO,CONTRACT_REF_NO_,MAKER_ID_28,2026-01-28,CHECKER_ID_2,2026-01-28,462536,2026-01-28,EVEN,C,A,N,5754,2026-01-28,E,WO,RA,RELEASE_BY_2,2026-01-28,RATE_ASSIGNE,2026-01-28,RATE_ASSIGN_,2026-01-28,I,TRN_TYPE_2,C,2346,TXN0000000000000028,003
MO,CONTRACT_REF_NO_,MAKER_ID_29,2026-01-29,CHECKER_ID_2,2026-01-29,320843,2026-01-29,EVEN,C,A,N,524,2026-01-29,E,WO,RA,RELEASE_BY_2,2026-01-29,RATE_ASSIGNE,2026-01-29,RATE_ASSIGN_,2026-01-29,I,TRN_TYPE_2,C,5859,TXN0000000000000029,004
MO,CONTRACT_REF_NO_,MAKER_ID_30,2026-01-30,CHECKER_ID_3,2026-01-30,135541,2026-01-30,EVEN,C,A,N,2827,2026-01-30,E,WO,RA,RELEASE_BY_3,2026-01-30,RATE_ASSIGNE,2026-01-30,RATE_ASSIGN_,2026-01-30,I,TRN_TYPE_3,C,4256,TXN0000000000000030,005
MO,CONTRACT_REF_NO_,MAKER_ID_31,2026-01-31,CHECKER_ID_3,2026-01-31,548011,2026-01-31,EVEN,C,A,N,5979,2026-01-31,E,WO,RA,RELEASE_BY_3,2026-01-31,RATE_ASSIGNE,2026-01-31,RATE_ASSIGN_,2026-01-31,I,TRN_TYPE_3,C,8720,TXN0000000000000031,006
MO,CONTRACT_REF_NO_,MAKER_ID_32,2026-02-01,CHECKER_ID_3,2026-02-01,308546,2026-02-01,EVEN,C,A,N,4147,2026-02-01,E,WO,RA,RELEASE_BY_3,2026-02-01,RATE_ASSIGNE,2026-02-01,RATE_ASSIGN_,2026-02-01,I,TRN_TYPE_3,C,6365,TXN0000000000000032,007
MO,CONTRACT_REF_NO_,MAKER_ID_33,2026-02-02,CHECKER_ID_3,2026-02-02,87219,2026-02-02,EVEN,C,A,N,5657,2026-02-02,E,WO,RA,RELEASE_BY_3,2026-02-02,RATE_ASSIGNE,2026-02-02,RATE_ASSIGN_,2026-02-02,I,TRN_TYPE_3,C,8592,TXN0000000000000033,008
MO,CONTRACT_REF_NO_,MAKER_ID_34,2026-02-03,CHECKER_ID_3,2026-02-03,150006,2026-02-03,EVEN,C,A,N,1249,2026-02-03,E,WO,RA,RELEASE_BY_3,2026-02-03,RATE_ASSIGNE,2026-02-03,RATE_ASSIGN_,2026-02-03,I,TRN_TYPE_3,C,9683,TXN0000000000000034,009
MO,CONTRACT_REF_NO_,MAKER_ID_35,2026-02-04,CHECKER_ID_3,2026-02-04,214575,2026-02-04,EVEN,C,A,N,3705,2026-02-04,E,WO,RA,RELEASE_BY_3,2026-02-04,RATE_ASSIGNE,2026-02-04,RATE_ASSIGN_,2026-02-04,I,TRN_TYPE_3,C,5237,TXN0000000000000035,010
MO,CONTRACT_REF_NO_,MAKER_ID_36,2026-02-05,CHECKER_ID_3,2026-02-05,701168,2026-02-05,EVEN,C,A,N,5031,2026-02-05,E,WO,RA,RELEASE_BY_3,2026-02-05,RATE_ASSIGNE,2026-02-05,RATE_ASSIGN_,2026-02-05,I,TRN_TYPE_3,C,2707,TXN0000000000000036,011
MO,CONTRACT_REF_NO_,MAKER_ID_37,2026-02-06,CHECKER_ID_3,2026-02-06,657674,2026-02-06,EVEN,C,A,N,6557,2026-02-06,E,WO,RA,RELEASE_BY_3,2026-02-06,RATE_ASSIGNE,2026-02-06,RATE_ASSIGN_,2026-02-06,I,TRN_TYPE_3,C,1718,TXN0000000000000037,012
MO,CONTRACT_REF_NO_,MAKER_ID_38,2026-02-07,CHECKER_ID_3,2026-02-07,703678,2026-02-07,EVEN,C,A,N,9261,2026-02-07,E,WO,RA,RELEASE_BY_3,2026-02-07,RATE_ASSIGNE,2026-02-07,RATE_ASSIGN_,2026-02-07,I,TRN_TYPE_3,C,8767,TXN0000000000000038,013
MO,CONTRACT_REF_NO_,MAKER_ID_39,2026-02-08,CHECKER_ID_3,2026-02-08,717845,2026-02-08,EVEN,C,A,N,4520,2026-02-08,E,WO,RA,RELEASE_BY_3,2026-02-08,RATE_ASSIGNE,2026-02-08,RATE_ASSIGN_,2026-02-08,I,TRN_TYPE_3,C,2666,TXN0000000000000039,014
MO,CONTRACT_REF_NO_,MAKER_ID_40,2026-02-09,CHECKER_ID_4,2026-02-09,65728,2026-02-09,EVEN,C,A,N,5641,2026-02-09,E,WO,RA,RELEASE_BY_4,2026-02-09,RATE_ASSIGNE,2026-02-09,RATE_ASSIGN_,2026-02-09,I,TRN_TYPE_4,C,3490,TXN0000000000000040,015
MO,CONTRACT_REF_NO_,MAKER_ID_41,2026-02-10,CHECKER_ID_4,2026-02-10,843051,2026-02-10,EVEN,C,A,N,6952,2026-02-10,E,WO,RA,RELEASE_BY_4,2026-02-10,RATE_ASSIGNE,2026-02-10,RATE_ASSIGN_,2026-02-10,I,TRN_TYPE_4,C,9278,TXN0000000000000041,016
MO,CONTRACT_REF_NO_,MAKER_ID_42,2026-02-11,CHECKER_ID_4,2026-02-11,160949,2026-02-11,EVEN,C,A,N,3210,2026-02-11,E,WO,RA,RELEASE_BY_4,2026-02-11,RATE_ASSIGNE,2026-02-11,RATE_ASSIGN_,2026-02-11,I,TRN_TYPE_4,C,6342,TXN0000000000000042,017
MO,CONTRACT_REF_NO_,MAKER_ID_43,2026-02-12,CHECKER_ID_4,2026-02-12,373432,2026-02-12,EVEN,C,A,N,3808,2026-02-12,E,WO,RA,RELEASE_BY_4,2026-02-12,RATE_ASSIGNE,2026-02-12,RATE_ASSIGN_,2026-02-12,I,TRN_TYPE_4,C,5611,TXN0000000000000043,018
MO,CONTRACT_REF_NO_,MAKER_ID_44,2026-02-13,CHECKER_ID_4,2026-02-13,353446,2026-02-13,EVEN,C,A,N,3550,2026-02-13,E,WO,RA,RELEASE_BY_4,2026-02-13,RATE_ASSIGNE,2026-02-13,RATE_ASSIGN_,2026-02-13,I,TRN_TYPE_4,C,7103,TXN0000000000000044,019
MO,CONTRACT_REF_NO_,MAKER_ID_45,2026-02-14,CHECKER_ID_4,2026-02-14,502841,2026-02-14,EVEN,C,A,N,6533,2026-02-14,E,WO,RA,RELEASE_BY_4,2026-02-14,RATE_ASSIGNE,2026-02-14,RATE_ASSIGN_,2026-02-14,I,TRN_TYPE_4,C,5244,TXN0000000000000045,020
MO,CONTRACT_REF_NO_,MAKER_ID_46,2026-02-15,CHECKER_ID_4,2026-02-15,183042,2026-02-15,EVEN,C,A,N,5665,2026-02-15,E,WO,RA,RELEASE_BY_4,2026-02-15,RATE_ASSIGNE,2026-02-15,RATE_ASSIGN_,2026-02-15,I,TRN_TYPE_4,C,6270,TXN0000000000000046,021
MO,CONTRACT_REF_NO_,MAKER_ID_47,2026-02-16,CHECKER_ID_4,2026-02-16,541582,2026-02-16,EVEN,C,U,N,2500,2026-02-16,E,WO,RA,RELEASE_BY_4,2026-02-16,RATE_ASSIGNE,2026-02-16,RATE_ASSIGN_,2026-02-16,I,TRN_TYPE_4,C,656,TXN0000000000000047,022
MO,CONTRACT_REF_NO_,MAKER_ID_48,2026-02-17,CHECKER_ID_4,2026-02-17,817328,2026-02-17,EVEN,C,A,N,979,2026-02-17,E,WO,RA,RELEASE_BY_4,2026-02-17,RATE_ASSIGNE,2026-02-17,RATE_ASSIGN_,2026-02-17,I,TRN_TYPE_4,C,9334,TXN0000000000000048,023
MO,CONTRACT_REF_NO_,MAKER_ID_49,2026-02-18,CHECKER_ID_4,2026-02-18,59889,2026-02-18,EVEN,C,A,N,5653,2026-02-18,E,WO,RA,RELEASE_BY_4,2026-02-18,RATE_ASSIGNE,2026-02-18,RATE_ASSIGN_,2026-02-18,I,TRN_TYPE_4,C,4111,TXN0000000000000049,024
MO,CONTRACT_REF_NO_,MAKER_ID_50,2026-02-19,CHECKER_ID_5,2026-02-19,920902,2026-02-19,EVEN,C,A,N,1796,2026-02-19,E,WO,RA,RELEASE_BY_5,2026-02-19,RATE_ASSIGNE,2026-02-19,RATE_ASSIGN_,2026-02-19,I,TRN_TYPE_5,C,8778,TXN0000000000000050,025
MO,CONTRACT_REF_NO_,MAKER_ID_51,2026-02-20,CHECKER_ID_5,2026-02-20,1352,2026-02-20,EVEN,C,A,N,8201,2026-02-20,E,WO,RA,RELEASE_BY_5,2026-02-20,RATE_ASSIGNE,2026-02-20,RATE_ASSIGN_,2026-02-20,I,TRN_TYPE_5,C,8608,TXN0000000000000051,001
MO,CONTRACT_REF_NO_,MAKER_ID_52,2026-02-21,CHECKER_ID_5,2026-02-21,305145,2026-02-21,EVEN,C,A,N,5618,2026-02-21,E,WO,RA,RELEASE_BY_5,2026-02-21,RATE_ASSIGNE,2026-02-21,RATE_ASSIGN_,2026-02-21,I,TRN_TYPE_5,C,7439,TXN0000000000000052,002
MO,CONTRACT_REF_NO_,MAKER_ID_53,2026-02-22,CHECKER_ID_5,2026-02-22,106959,2026-02-22,EVEN,C,A,N,2847,2026-02-22,E,WO,RA,RELEASE_BY_5,2026-02-22,RATE_ASSIGNE,2026-02-22,RATE_ASSIGN_,2026-02-22,I,TRN_TYPE_5,C,3879,TXN0000000000000053,003
MO,CONTRACT_REF_NO_,MAKER_ID_54,2026-02-23,CHECKER_ID_5,2026-02-23,401819,2026-02-23,EVEN,C,A,N,9580,2026-02-23,E,WO,RA,RELEASE_BY_5,2026-02-23,RATE_ASSIGNE,2026-02-23,RATE_ASSIGN_,2026-02-23,I,TRN_TYPE_5,C,4819,TXN0000000000000054,004
MO,CONTRACT_REF_NO_,MAKER_ID_55,2026-02-24,CHECKER_ID_5,2026-02-24,449680,2026-02-24,EVEN,C,A,N,5507,2026-02-24,E,WO,RA,RELEASE_BY_5,2026-02-24,RATE_ASSIGNE,2026-02-24,RATE_ASSIGN_,2026-02-24,I,TRN_TYPE_5,C,5058,TXN0000000000000055,005
MO,CONTRACT_REF_NO_,MAKER_ID_56,2026-02-25,CHECKER_ID_5,2026-02-25,226030,2026-02-25,EVEN,C,A,N,4619,2026-02-25,E,WO,RA,RELEASE_BY_5,2026-02-25,RATE_ASSIGNE,2026-02-25,RATE_ASSIGN_,2026-02-25,I,TRN_TYPE_5,C,7783,TXN0000000000000056,006
MO,CONTRACT_REF_NO_,MAKER_ID_57,2026-02-26,CHECKER_ID_5,2026-02-26,852640,2026-02-26,EVEN,C,A,N,2943,2026-02-26,E,WO,RA,RELEASE_BY_5,2026-02-26,RATE_ASSIGNE,2026-02-26,RATE_ASSIGN_,2026-02-26,I,TRN_TYPE_5,C,5436,TXN0000000000000057,007
MO,CONTRACT_REF_NO_,MAKER_ID_58,2026-02-27,CHECKER_ID_5,2026-02-27,153989,2026-02-27,EVEN,C,A,N,9641,2026-02-27,E,WO,RA,RELEASE_BY_5,2026-02-27,RATE_ASSIGNE,2026-02-27,RATE_ASSIGN_,2026-02-27,I,TRN_TYPE_5,C,7511,TXN0000000000000058,008
MO,CONTRACT_REF_NO_,MAKER_ID_59,2026-02-28,CHECKER_ID_5,2026-02-28,299317,2026-02-28,EVEN,C,A,N,8951,2026-02-28,E,WO,RA,RELEASE_BY_5,2026-02-28,RATE_ASSIGNE,2026-02-28,RATE_ASSIGN_,2026-02-28,I,TRN_TYPE_5,C,2489,TXN0000000000000059,009
MO,CONTRACT_REF_NO_,MAKER_ID_60,2026-03-01,CHECKER_ID_6,2026-03-01,903435,2026-03-01,EVEN,C,A,N,1310,2026-03-01,E,WO,RA,RELEASE_BY_6,2026-03-01,RATE_ASSIGNE,2026-03-01,RATE_ASSIGN_,2026-03-01,I,TRN_TYPE_6,C,4886,TXN0000000000000060,010
MO,CONTRACT_REF_NO_,MAKER_ID_61,2026-03-02,CHECKER_ID_6,2026-03-02,72254,2026-03-02,EVEN,C,A,N,6374,2026-03-02,E,WO,RA,RELEASE_BY_6,2026-03-02,RATE_ASSIGNE,2026-03-02,RATE_ASSIGN_,2026-03-02,I,TRN_TYPE_6,C,7112,TXN0000000000000061,011
MO,CONTRACT_REF_NO_,MAKER_ID_62,2026-03-03,CHECKER_ID_6,2026-03-03,874819,2026-03-03,EVEN,C,A,N,7190,2026-03-03,E,WO,RA,RELEASE_BY_6,2026-03-03,RATE_ASSIGNE,2026-03-03,RATE_ASSIGN_,2026-03-03,I,TRN_TYPE_6,C,7887,TXN0000000000000062,012
MO,CONTRACT_REF_NO_,MAKER_ID_63,2026-03-04,CHECKER_ID_6,2026-03-04,369369,2026-03-04,EVEN,C,A,N,926,2026-03-04,E,WO,RA,RELEASE_BY_6,2026-03-04,RATE_ASSIGNE,2026-03-04,RATE_ASSIGN_,2026-03-04,I,TRN_TYPE_6,C,8177,TXN0000000000000063,013
MO,CONTRACT_REF_NO_,MAKER_ID_64,2026-03-05,CHECKER_ID_6,2026-03-05,688220,2026-03-05,EVEN,C,A,N,4697,2026-03-05,E,WO,RA,RELEASE_BY_6,2026-03-05,RATE_ASSIGNE,2026-03-05,RATE_ASSIGN_,2026-03-05,I,TRN_TYPE_6,C,6460,TXN0000000000000064,014
MO,CONTRACT_REF_NO_,MAKER_ID_65,2026-03-06,CHECKER_ID_6,2026-03-06,675118,2026-03-06,EVEN,C,A,N,2472,2026-03-06,E,WO,RA,RELEASE_BY_6,2026-03-06,RATE_ASSIGNE,2026-03-06,RATE_ASSIGN_,2026-03-06,I,TRN_TYPE_6,C,1696,TXN0000000000000065,015
MO,CONTRACT_REF_NO_,MAKER_ID_66,2026-03-07,CHECKER_ID_6,2026-03-07,63777,2026-03-07,EVEN,C,A,N,4775,2026-03-07,E,WO,RA,RELEASE_BY_6,2026-03-07,RATE_ASSIGNE,2026-03-07,RATE_ASSIGN_,2026-03-07,I,TRN_TYPE_6,C,3161,TXN0000000000000066,016
MO,CONTRACT_REF_NO_,MAKER_ID_67,2026-03-08,CHECKER_ID_6,2026-03-08,493258,2026-03-08,EVEN,C,A,N,8886,2026-03-08,E,WO,RA,RELEASE_BY_6,2026-03-08,RATE_ASSIGNE,2026-03-08,RATE_ASSIGN_,2026-03-08,I,TRN_TYPE_6,C,6472,TXN0000000000000067,017
MO,CONTRACT_REF_NO_,MAKER_ID_68,2026-03-09,CHECKER_ID_6,2026-03-09,958271,2026-03-09,EVEN,C,A,N,259,2026-03-09,E,WO,RA,RELEASE_BY_6,2026-03-09,RATE_ASSIGNE,2026-03-09,RATE_ASSIGN_,2026-03-09,I,TRN_TYPE_6,C,6237,TXN0000000000000068,018
MO,CONTRACT_REF_NO_,MAKER_ID_69,2026-03-10,CHECKER_ID_6,2026-03-10,853966,2026-03-10,EVEN,C,A,N,7724,2026-03-10,E,WO,RA,RELEASE_BY_6,2026-03-10,RATE_ASSIGNE,2026-03-10,RATE_ASSIGN_,2026-03-10,I,TRN_TYPE_6,C,9782,TXN0000000000000069,019
MO,CONTRACT_REF_NO_,MAKER_ID_70,2026-03-11,CHECKER_ID_7,2026-03-11,132084,2026-03-11,EVEN,C,U,N,8232,2026-03-11,E,WO,RA,RELEASE_BY_7,2026-03-11,RATE_ASSIGNE,2026-03-11,RATE_ASSIGN_,2026-03-11,I,TRN_TYPE_7,C,3927,TXN0000000000000070,020
MO,CONTRACT_REF_NO_,MAKER_ID_71,2026-03-12,CHECKER_ID_7,2026-03-12,725350,2026-03-12,EVEN,C,A,N,5764,2026-03-12,E,WO,RA,RELEASE_BY_7,2026-03-12,RATE_ASSIGNE,2026-03-12,RATE_ASSIGN_,2026-03-12,I,TRN_TYPE_7,C,5956,TXN0000000000000071,021
MO,CONTRACT_REF_NO_,MAKER_ID_72,2026-03-13,CHECKER_ID_7,2026-03-13,62554,2026-03-13,EVEN,C,A,N,7863,2026-03-13,E,WO,RA,RELEASE_BY_7,2026-03-13,RATE_ASSIGNE,2026-03-13,RATE_ASSIGN_,2026-03-13,I,TRN_TYPE_7,C,3880,TXN0000000000000072,022
MO,CONTRACT_REF_NO_,MAKER_ID_73,2026-03-14,CHECKER_ID_7,2026-03-14,295081,2026-03-14,EVEN,C,A,N,4191,2026-03-14,E,WO,RA,RELEASE_BY_7,2026-03-14,RATE_ASSIGNE,2026-03-14,RATE_ASSIGN_,2026-03-14,I,TRN_TYPE_7,C,3447,TXN0000000000000073,023
MO,CONTRACT_REF_NO_,MAKER_ID_74,2026-03-15,CHECKER_ID_7,2026-03-15,804203,2026-03-15,EVEN,C,A,N,6278,2026-03-15,E,WO,RA,RELEASE_BY_7,2026-03-15,RATE_ASSIGNE,2026-03-15,RATE_ASSIGN_,2026-03-15,I,TRN_TYPE_7,C,6750,TXN0000000000000074,024
