CCY,YEAR,MONTH,HOLIDAY_LIST
EUR,9161,90,HOLIDAY_LIST_107
BRL,5976,41,HOLIDAY_LIST_108
USD,3771,56,HOLIDAY_LIST_109
PEN,3937,80,HOLIDAY_LIST_110
EUR,6781,17,HOLIDAY_LIST_111
BRL,629,51,HOLIDAY_LIST_112
USD,1990,7,HOLIDAY_LIST_113
PEN,7716,90,HOLIDAY_LIST_114
EUR,6590,3,HOLIDAY_LIST_115
BRL,8929,81,HOLIDAY_LIST_116
USD,7707,73,HOLIDAY_LIST_117
PEN,5003,76,HOLIDAY_LIST_118
EUR,785,99,HOLIDAY_LIST_119
BRL,8728,73,HOLIDAY_LIST_120
USD,5871,67,HOLIDAY_LIST_121
PEN,999,30,HOLIDAY_LIST_122
EUR,8712,65,HOLIDAY_LIST_123
BRL,61,81,HOLIDAY_LIST_124
USD,7983,89,HOLIDAY_LIST_125
PEN,2572,43,HOLIDAY_LIST_126
EUR,8987,8,HOLIDAY_LIST_127
BRL,3513,24,HOLIDAY_LIST_128
USD,725,81,HOLIDAY_LIST_129
PEN,5176,81,HOLIDAY_LIST_130
EUR,2971,45,HOLIDAY_LIST_131
BRL,4987,42,HOLIDAY_LIST_132
USD,1622,70,HOLIDAY_LIST_133
PEN,3305,8,HOLIDAY_LIST_134
EUR,281,41,HOLIDAY_LIST_135
BRL,8466,1,HOLIDAY_LIST_136
USD,6930,37,HOLIDAY_LIST_137
PEN,2548,33,HOLIDAY_LIST_138
EUR,3301,49,HOLIDAY_LIST_139
BRL,6671,86,HOLIDAY_LIST_140
USD,2786,78,HOLIDAY_LIST_141
PEN,4076,33,HOLIDAY_LIST_142
EUR,6943,42,HOLIDAY_LIST_143
BRL,7261,22,HOLIDAY_LIST_144
USD,7515,32,HOLIDAY_LIST_145
PEN,533,35,HOLIDAY_LIST_146
EUR,8763,22,HOLIDAY_LIST_147
BRL,644,87,HOLIDAY_LIST_148
USD,388,59,HOLIDAY_LIST_149
PEN,9908,89,HOLIDAY_LIST_150
EUR,7803,67,HOLIDAY_LIST_151
BRL,4034,72,HOLIDAY_LIST_152
USD,8635,10,HOLIDAY_LIST_153
PEN,1498,0,HOLIDAY_LIST_154
EUR,3981,18,HOLIDAY_LIST_155
BRL,6977,70,HOLIDAY_LIST_156
USD,4104,59,HOLIDAY_LIST_157
PEN,8635,85,HOLIDAY_LIST_158
EUR,8036,14,HOLIDAY_LIST_159
BRL,4512,93,HOLIDAY_LIST_160
USD,7442,86,HOLIDAY_LIST_161
PEN,6409,75,HOLIDAY_LIST_162
EUR,1798,17,HOLIDAY_LIST_163
BRL,8532,43,HOLIDAY_LIST_164
USD,4313,45,HOLIDAY_LIST_165
PEN,746,68,HOLIDAY_LIST_166
EUR,8775,63,HOLIDAY_LIST_167
BRL,7806,22,HOLIDAY_LIST_168
USD,3350,58,HOLIDAY_LIST_169
PEN,6668,66,HOLIDAY_LIST_170
EUR,9732,66,HOLIDAY_LIST_171
BRL,4540,93,HOLIDAY_LIST_172
USD,8704,5,HOLIDAY_LIST_173
PEN,5987,12,HOLIDAY_LIST_174
EUR,6242,43,HOLIDAY_LIST_175
BRL,6116,7,HOLIDAY_LIST_176
USD,9136,94,HOLIDAY_LIST_177
PEN,2012,67,HOLIDAY_LIST_178
EUR,55,90,HOLIDAY_LIST_179
BRL,527,70,HOLIDAY_LIST_180
USD,4406,72,HOLIDAY_LIST_181
PEN,1058,43,HOLIDAY_LIST_182
EUR,8537,35,HOLIDAY_LIST_183
BRL,6466,11,HOLIDAY_LIST_184
USD,9775,27,HOLIDAY_LIST_185
PEN,6966,19,HOLIDAY_LIST_186
EUR,5185,97,HOLIDAY_LIST_187
BRL,7598,49,HOLIDAY_LIST_188
USD,9854,92,HOLIDAY_LIST_189
PEN,6709,87,HOLIDAY_LIST_190
EUR,9531,89,HOLIDAY_LIST_191
BRL,5149,35,HOLIDAY_LIST_192
USD,9219,83,HOLIDAY_LIST_193
PEN,2690,24,HOLIDAY_LIST_194
EUR,5033,66,HOLIDAY_LIST_195
BRL,9349,46,HOLIDAY_LIST_196
USD,4271,78,HOLIDAY_LIST_197
PEN,2593,39,HOLIDAY_LIST_198
EUR,1028,15,HOLIDAY_LIST_199
BRL,7235,69,HOLIDAY_LIST_200
USD,8912,34,HOLIDAY_LIST_201
PEN,7464,42,HOLIDAY_LIST_202
EUR,8628,33,HOLIDAY_LIST_203
BRL,9911,15,HOLIDAY_LIST_204
USD,4867,84,HOLIDAY_LIST_205
PEN,102,98,HOLIDAY_LIST_206
EUR,5844,15,HOLIDAY_LIST_207
BRL,6768,96,HOLIDAY_LIST_208
USD,9977,43,HOLIDAY_LIST_209
PEN,5137,94,HOLIDAY_LIST_210
EUR,7583,90,HOLIDAY_LIST_211
BRL,2157,9,HOLIDAY_LIST_212
USD,881,56,HOLIDAY_LIST_213
PEN,4987,1,HOLIDAY_LIST_214
EUR,3770,50,HOLIDAY_LIST_215
BRL,257,13,HOLIDAY_LIST_216
USD,1641,45,HOLIDAY_LIST_217
PEN,5696,13,HOLIDAY_LIST_218
EUR,2279,49,HOLIDAY_LIST_219
BRL,3682,20,HOLIDAY_LIST_220
USD,5927,73,HOLIDAY_LIST_221
PEN,4321,34,HOLIDAY_LIST_222
EUR,2552,6,HOLIDAY_LIST_223
BRL,2467,58,HOLIDAY_LIST_224
USD,854,83,HOLIDAY_LIST_225
PEN,5751,42,HOLIDAY_LIST_226
EUR,6143,25,HOLIDAY_LIST_227
BRL,3387,88,HOLIDAY_LIST_228
USD,769,85,HOLIDAY_LIST_229
PEN,5377,88,HOLIDAY_LIST_230
EUR,787,42,HOLIDAY_LIST_231
BRL,9576,97,HOLIDAY_LIST_232
USD,7959,88,HOLIDAY_LIST_233
PEN,6948,43,HOLIDAY_LIST_234
EUR,6280,87,HOLIDAY_LIST_235
BRL,9671,79,HOLIDAY_LIST_236
USD,6591,58,HOLIDAY_LIST_237
PEN,4059,67,HOLIDAY_LIST_238
EUR,8417,27,HOLIDAY_LIST_239
BRL,6893,63,HOLIDAY_LIST_240
USD,5105,1,HOLIDAY_LIST_241
PEN,5203,97,HOLIDAY_LIST_242
EUR,324,65,HOLIDAY_LIST_243
BRL,9034,34,HOLIDAY_LIST_244
USD,2643,44,HOLIDAY_LIST_245
PEN,6210,43,HOLIDAY_LIST_246
EUR,9483,53,HOLIDAY_LIST_247
BRL,7998,72,HOLIDAY_LIST_248
USD,6831,13,HOLIDAY_LIST_249
PEN,3617,75,HOLIDAY_LIST_250
EUR,4372,16,HOLIDAY_LIST_251
BRL,6936,33,HOLIDAY_LIST_252
USD,1252,37,HOLIDAY_LIST_253
PEN,354,90,HOLIDAY_LIST_254
EUR,3696,82,HOLIDAY_LIST_255
BRL,2426,89,HOLIDAY_LIST_256
USD,1987,85,HOLIDAY_LIST_257
PEN,5496,52,HOLIDAY_LIST_258
EUR,9156,86,HOLIDAY_LIST_259
BRL,457,75,HOLIDAY_LIST_260
USD,2976,78,HOLIDAY_LIST_261
PEN,634,54,HOLIDAY_LIST_262
EUR,9741,75,HOLIDAY_LIST_263
BRL,8941,71,HOLIDAY_LIST_264
USD,7150,77,HOLIDAY_LIST_265
PEN,5817,25,HOLIDAY_LIST_266
EUR,8404,35,HOLIDAY_LIST_267
BRL,8019,79,HOLIDAY_LIST_268
USD,3661,9,HOLIDAY_LIST_269
PEN,8771,54,HOLIDAY_LIST_270
EUR,3141,32,HOLIDAY_LIST_271
BRL,5480,13,HOLIDAY_LIST_272
USD,4528,71,HOLIDAY_LIST_273
PEN,6366,6,HOLIDAY_LIST_274
EUR,9982,71,HOLIDAY_LIST_275
BRL,4627,50,HOLIDAY_LIST_276
USD,294,0,HOLIDAY_LIST_277
PEN,9369,86,HOLIDAY_LIST_278
EUR,8304,7,HOLIDAY_LIST_279
BRL,1509,93,HOLIDAY_LIST_280
USD,9672,22,HOLIDAY_LIST_281
PEN,8652,68,HOLIDAY_LIST_282
EUR,3632,99,HOLIDAY_LIST_283
BRL,1530,72,HOLIDAY_LIST_284
USD,6915,82,HOLIDAY_LIST_285
PEN,6557,25,HOLIDAY_LIST_286
EUR,5548,42,HOLIDAY_LIST_287
BRL,9697,87,HOLIDAY_LIST_288
USD,134,14,HOLIDAY_LIST_289
PEN,4672,4,HOLIDAY_LIST_290
EUR,6392,96,HOLIDAY_LIST_291
BRL,3968,44,HOLIDAY_LIST_292
USD,7472,17,HOLIDAY_LIST_293
PEN,5236,74,HOLIDAY_LIST_294
EUR,5991,11,HOLIDAY_LIST_295
BRL,9572,80,HOLIDAY_LIST_296
USD,9674,95,HOLIDAY_LIST_297
PEN,6897,7,HOLIDAY_LIST_298
EUR,6306,37,HOLIDAY_LIST_299
BRL,4932,8,HOLIDAY_LIST_300
USD,3489,72,HOLIDAY_LIST_301
PEN,866,58,HOLIDAY_LIST_302
EUR,8203,27,HOLIDAY_LIST_303
BRL,2552,3,HOLIDAY_LIST_304
USD,4533,63,HOLIDAY_LIST_305
PEN,6428,16,HOLIDAY_LIST_306
EUR,4623,79,HOLIDAY_LIST_307
BRL,6230,72,HOLIDAY_LIST_308
USD,1521,77,HOLIDAY_LIST_309
PEN,7403,89,HOLIDAY_LIST_310
EUR,2485,60,HOLIDAY_LIST_311
BRL,3916,11,HOLIDAY_LIST_312
USD,7114,51,HOLIDAY_LIST_313
PEN,9228,26,HOLIDAY_LIST_314
EUR,1981,9,HOLIDAY_LIST_315
BRL,48,28,HOLIDAY_LIST_316
USD,2803,6,HOLIDAY_LIST_317
PEN,8762,28,HOLIDAY_LIST_318
EUR,593,68,HOLIDAY_LIST_319
BRL,448,40,HOLIDAY_LIST_320
USD,1882,69,HOLIDAY_LIST_321
PEN,652,87,HOLIDAY_LIST_322
EUR,5760,51,HOLIDAY_LIST_323
BRL,7640,34,HOLIDAY_LIST_324
USD,7458,66,HOLIDAY_LIST_325
PEN,5650,20,HOLIDAY_LIST_326
EUR,9313,81,HOLIDAY_LIST_327
BRL,9578,2,HOLIDAY_LIST_328
USD,170,89,HOLIDAY_LIST_329
PEN,5685,14,HOLIDAY_LIST_330
EUR,196,81,HOLIDAY_LIST_331
BRL,4919,78,HOLIDAY_LIST_332
USD,1942,31,HOLIDAY_LIST_333
PEN,2962,63,HOLIDAY_LIST_334
EUR,1633,97,HOLIDAY_LIST_335
BRL,6693,51,HOLIDAY_LIST_336
USD,437,0,HOLIDAY_LIST_337
PEN,775,72,HOLIDAY_LIST_338
EUR,3766,1,HOLIDAY_LIST_339
BRL,1519,80,HOLIDAY_LIST_340
USD,1301,30,HOLIDAY_LIST_341
PEN,3200,47,HOLIDAY_LIST_342
EUR,2493,36,HOLIDAY_LIST_343
BRL,1130,59,HOLIDAY_LIST_344
USD,3091,94,HOLIDAY_LIST_345
PEN,1656,31,HOLIDAY_LIST_346
EUR,5191,44,HOLIDAY_LIST_347
BRL,7130,63,HOLIDAY_LIST_348
USD,77,52,HOLIDAY_LIST_349
PEN,7427,2,HOLIDAY_LIST_350
EUR,5381,15,HOLIDAY_LIST_351
BRL,5568,92,HOLIDAY_LIST_352
USD,7007,90,HOLIDAY_LIST_353
PEN,2558,15,HOLIDAY_LIST_354
EUR,3526,55,HOLIDAY_LIST_355
BRL,928,82,HOLIDAY_LIST_356
USD,8843,8,HOLIDAY_LIST_357
PEN,4468,82,HOLIDAY_LIST_358
EUR,3906,57,HOLIDAY_LIST_359
BRL,9240,68,HOLIDAY_LIST_360
USD,9219,9,HOLIDAY_LIST_361
PEN,3224,66,HOLIDAY_LIST_362
EUR,3049,91,HOLIDAY_LIST_363
BRL,7515,53,HOLIDAY_LIST_364
USD,5840,58,HOLIDAY_LIST_365
PEN,6715,88,HOLIDAY_LIST_366
EUR,501,32,HOLIDAY_LIST_367
