ONCE_AUTH,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,RECORD_STAT,MOD_NO,AUTH_STAT,YEAR,CLEARING_HOUSE,WEEKLY_HOLIDAYS
Y,MAKER_ID_16,2026-01-16,CHECKER_ID_1,2026-01-16,O,5263,A,9491,CLE,WEEKLY_
Y,MAKER_ID_17,2026-01-17,CHECKER_ID_1,2026-01-17,O,3690,A,4861,CLE,WEEKLY_
Y,MAKER_ID_18,2026-01-18,CHECKER_ID_1,2026-01-18,O,1512,A,9484,CLE,WEEKLY_
Y,MAKER_ID_19,2026-01-19,CHECKER_ID_1,2026-01-19,O,4571,A,8001,CLE,WEEKLY_
Y,MAKER_ID_20,2026-01-20,CHECKER_ID_2,2026-01-20,O,5791,A,563,CLE,WEEKLY_
Y,MAKER_ID_21,2026-01-21,CHECKER_ID_2,2026-01-21,O,501,A,5907,CLE,WEEKLY_
Y,MAKER_ID_22,2026-01-22,CHECKER_ID_2,2026-01-22,O,6860,A,4100,CLE,WEEKLY_
Y,MAKER_ID_23,2026-01-23,CHECKER_ID_2,2026-01-23,O,4703,A,812,CLE,WEEKLY_
Y,MAKER_ID_24,2026-01-24,CHECKER_ID_2,2026-01-24,O,872,U,2895,CLE,WEEKLY_
Y,MAKER_ID_25,2026-01-25,CHECKER_ID_2,2026-01-25,O,8625,A,1331,CLE,WEEKLY_
Y,MAKER_ID_26,2026-01-26,CHECKER_ID_2,2026-01-26,O,4425,A,9013,CLE,WEEKLY_
Y,MAKER_ID_27,2026-01-27,CHECKER_ID_2,2026-01-27,O,7086,A,4305,CLE,WEEKLY_
Y,MAKER_ID_28,2026-01-28,CHECKER_ID_2,2026-01-28,O,9077,A,4222,CLE,WEEKLY_
Y,MAKER_ID_29,2026-01-29,CHECKER_ID_2,2026-01-29,O,1038,A,6508,CLE,WEEKLY_
Y,MAKER_ID_30,2026-01-30,CHECKER_ID_3,2026-01-30,O,3888,A,9363,CLE,WEEKLY_
Y,MAKER_ID_31,2026-01-31,CHECKER_ID_3,2026-01-31,O,7590,A,8916,CLE,WEEKLY_
Y,MAKER_ID_32,2026-02-01,CHECKER_ID_3,2026-02-01,O,7395,A,7964,CLE,WEEKLY_
Y,MAKER_ID_33,2026-02-02,CHECKER_ID_3,2026-02-02,O,43,A,4189,CLE,WEEKLY_
Y,MAKER_ID_34,2026-02-03,CHECKER_ID_3,2026-02-03,O,1933,A,6480,CLE,WEEKLY_
Y,MAKER_ID_35,2026-02-04,CHECKER_ID_3,2026-02-04,O,1895,A,2284,CLE,WEEKLY_
Y,MAKER_ID_36,2026-02-05,CHECKER_ID_3,2026-02-05,O,5373,A,6754,CLE,WEEKLY_
Y,MAKER_ID_37,2026-02-06,CHECKER_ID_3,2026-02-06,O,1035,A,9229,CLE,WEEKLY_
Y,MAKER_ID_38,2026-02-07,CHECKER_ID_3,2026-02-07,O,3263,A,5794,CLE,WEEKLY_
Y,MAKER_ID_39,2026-02-08,CHECKER_ID_3,2026-02-08,O,7754,A,9559,CLE,WEEKLY_
Y,MAKER_ID_40,2026-02-09,CHECKER_ID_4,2026-02-09,O,4649,A,887,CLE,WEEKLY_
Y,MAKER_ID_41,2026-02-10,CHECKER_ID_4,2026-02-10,O,6179,A,5527,CLE,WEEKLY_
Y,MAKER_ID_42,2026-02-11,CHECKER_ID_4,2026-02-11,O,7040,A,5427,CLE,WEEKLY_
Y,MAKER_ID_43,2026-02-12,CHECKER_ID_4,2026-02-12,O,2380,A,7290,CLE,WEEKLY_
Y,MAKER_ID_44,2026-02-13,CHECKER_ID_4,2026-02-13,O,1977,A,3561,CLE,WEEKLY_
Y,MAKER_ID_45,2026-02-14,CHECKER_ID_4,2026-02-14,O,8908,A,8809,CLE,WEEKLY_
Y,MAKER_ID_46,2026-02-15,CHECKER_ID_4,2026-02-15,O,1663,A,5998,CLE,WEEKLY_
Y,MAKER_ID_47,2026-02-16,CHECKER_ID_4,2026-02-16,O,641,U,8566,CLE,WEEKLY_
Y,MAKER_ID_48,2026-02-17,CHECKER_ID_4,2026-02-17,O,6798,A,6673,CLE,WEEKLY_
Y,MAKER_ID_49,2026-02-18,CHECKER_ID_4,2026-02-18,O,3250,A,1827,CLE,WEEKLY_
Y,MAKER_ID_50,2026-02-19,CHECKER_ID_5,2026-02-19,O,15,A,7826,CLE,WEEKLY_
Y,MAKER_ID_51,2026-02-20,CHECKER_ID_5,2026-02-20,O,9190,A,7525,CLE,WEEKLY_
Y,MAKER_ID_52,2026-02-21,CHECKER_ID_5,2026-02-21,O,8723,A,3762,CLE,WEEKLY_
Y,MAKER_ID_53,2026-02-22,CHECKER_ID_5,2026-02-22,O,3097,A,8279,CLE,WEEKLY_
Y,MAKER_ID_54,2026-02-23,CHECKER_ID_5,2026-02-23,O,764,A,9405,CLE,WEEKLY_
Y,MAKER_ID_55,2026-02-24,CHECKER_ID_5,2026-02-24,O,8274,A,7467,CLE,WEEKLY_
Y,MAKER_ID_56,2026-02-25,CHECKER_ID_5,2026-02-25,O,2531,A,8794,CLE,WEEKLY_
Y,MAKER_ID_57,2026-02-26,CHECKER_ID_5,2026-02-26,O,9437,A,6850,CLE,WEEKLY_
Y,MAKER_ID_58,2026-02-27,CHECKER_ID_5,2026-02-27,O,886,A,4619,CLE,WEEKLY_
Y,MAKER_ID_59,2026-02-28,CHECKER_ID_5,2026-02-28,O,1828,A,512,CLE,WEEKLY_
Y,MAKER_ID_60,2026-03-01,CHECKER_ID_6,2026-03-01,O,2610,A,3648,CLE,WEEKLY_
Y,MAKER_ID_61,2026-03-02,CHECKER_ID_6,2026-03-02,O,8657,A,1474,CLE,WEEKLY_
Y,MAKER_ID_62,2026-03-03,CHECKER_ID_6,2026-03-03,O,4483,A,4655,CLE,WEEKLY_
Y,MAKER_ID_63,2026-03-04,CHECKER_ID_6,2026-03-04,O,7354,A,824,CLE,WEEKLY_
Y,MAKER_ID_64,2026-03-05,CHECKER_ID_6,2026-03-05,O,8750,A,4498,CLE,WEEKLY_
Y,MAKER_ID_65,2026-03-06,CHECKER_ID_6,2026-03-06,O,996,A,4769,CLE,WEEKLY_
Y,MAKER_ID_66,2026-03-07,CHECKER_ID_6,2026-03-07,O,9352,A,5212,CLE,WEEKLY_
Y,MAKER_ID_67,2026-03-08,CHECKER_ID_6,2026-03-08,O,8748,A,5752,CLE,WEEKLY_
Y,MAKER_ID_68,2026-03-09,CHECKER_ID_6,2026-03-09,O,2973,A,4341,CLE,WEEKLY_
Y,MAKER_ID_69,2026-03-10,CHECKER_ID_6,2026-03-10,O,3790,A,5974,CLE,WEEKLY_
Y,MAKER_ID_70,2026-03-11,CHECKER_ID_7,2026-03-11,O,4973,U,9182,CLE,WEEKLY_
Y,MAKER_ID_71,2026-03-12,CHECKER_ID_7,2026-03-12,O,258,A,8599,CLE,WEEKLY_
Y,MAKER_ID_72,2026-03-13,CHECKER_ID_7,2026-03-13,O,8105,A,8369,CLE,WEEKLY_
Y,MAKER_ID_73,2026-03-14,CHECKER_ID_7,2026-03-14,O,2082,A,9790,CLE,WEEKLY_
Y,MAKER_ID_74,2026-03-15,CHECKER_ID_7,2026-03-15,O,8283,A,6862,CLE,WEEKLY_
Y,MAKER_ID_75,2026-03-16,CHECKER_ID_7,2026-03-16,O,4434,A,4272,CLE,WEEKLY_
Y,MAKER_ID_76,2026-03-17,CHECKER_ID_7,2026-03-17,O,782,A,4018,CLE,WEEKLY_
Y,MAKER_ID_77,2026-03-18,CHECKER_ID_7,2026-03-18,O,3787,A,7439,CLE,WEEKLY_
Y,MAKER_ID_78,2026-03-19,CHECKER_ID_7,2026-03-19,O,279,A,9690,CLE,WEEKLY_
Y,MAKER_ID_79,2026-03-20,CHECKER_ID_7,2026-03-20,O,6047,A,4560,CLE,WEEKLY_
Y,MAKER_ID_80,2026-03-21,CHECKER_ID_8,2026-03-21,O,9894,A,5952,CLE,WEEKLY_
Y,MAKER_ID_81,2026-03-22,CHECKER_ID_8,2026-03-22,O,8286,A,6801,CLE,WEEKLY_
Y,MAKER_ID_82,2026-03-23,CHECKER_ID_8,2026-03-23,O,7890,A,5937,CLE,WEEKLY_
Y,MAKER_ID_83,2026-03-24,CHECKER_ID_8,2026-03-24,O,6053,A,1602,CLE,WEEKLY_
Y,MAKER_ID_84,2026-03-25,CHECKER_ID_8,2026-03-25,O,465,A,8229,CLE,WEEKLY_
Y,MAKER_ID_85,2026-03-26,CHECKER_ID_8,2026-03-26,O,8090,A,5477,CLE,WEEKLY_
Y,MAKER_ID_86,2026-03-27,CHECKER_ID_8,2026-03-27,O,5025,A,2494,CLE,WEEKLY_
Y,MAKER_ID_87,2026-03-28,CHECKER_ID_8,2026-03-28,O,6316,A,7652,CLE,WEEKLY_
Y,MAKER_ID_88,2026-03-29,CHECKER_ID_8,2026-03-29,O,8474,A,6681,CLE,WEEKLY_
Y,MAKER_ID_89,2026-03-30,CHECKER_ID_8,2026-03-30,O,9450,A,7417,CLE,WEEKLY_
Y,MAKER_ID_90,2026-03-31,CHECKER_ID_9,2026-03-31,O,7072,A,4030,CLE,WEEKLY_
Y,MAKER_ID_91,2026-04-01,CHECKER_ID_9,2026-04-01,O,3965,A,6948,CLE,WEEKLY_
Y,MAKER_ID_92,2026-04-02,CHECKER_ID_9,2026-04-02,O,5704,A,2159,CLE,WEEKLY_
Y,MAKER_ID_93,2026-04-03,CHECKER_ID_9,2026-04-03,O,3955,U,5597,CLE,WEEKLY_
Y,MAKER_ID_94,2026-04-04,CHECKER_ID_9,2026-04-04,O,9623,A,8095,CLE,WEEKLY_
Y,MAKER_ID_95,2026-04-05,CHECKER_ID_9,2026-04-05,O,2973,A,9913,CLE,WEEKLY_
Y,MAKER_ID_96,2026-04-06,CHECKER_ID_9,2026-04-06,O,4610,A,4018,CLE,WEEKLY_
Y,MAKER_ID_97,2026-04-07,CHECKER_ID_9,2026-04-07,O,9836,A,8624,CLE,WEEKLY_
Y,MAKER_ID_98,2026-04-08,CHECKER_ID_9,2026-04-08,O,9035,A,8690,CLE,WEEKLY_
Y,MAKER_ID_99,2026-04-09,CHECKER_ID_9,2026-04-09,O,8266,A,6372,CLE,WEEKLY_
Y,MAKER_ID_100,2026-04-10,CHECKER_ID_1,2026-04-10,O,3559,A,7658,CLE,WEEKLY_
Y,MAKER_ID_101,2026-04-11,CHECKER_ID_1,2026-04-11,O,5349,A,9316,CLE,WEEKLY_
Y,MAKER_ID_102,2026-04-12,CHECKER_ID_1,2026-04-12,O,1577,A,8289,CLE,WEEKLY_
Y,MAKER_ID_103,2026-04-13,CHECKER_ID_1,2026-04-13,O,8395,A,822,CLE,WEEKLY_
Y,MAKER_ID_104,2026-04-14,CHECKER_ID_1,2026-04-14,O,3091,A,1967,CLE,WEEKLY_
Y,MAKER_ID_105,2026-04-15,CHECKER_ID_1,2026-04-15,O,3678,A,8725,CLE,WEEKLY_
Y,MAKER_ID_106,2026-04-16,CHECKER_ID_1,2026-04-16,O,2339,A,9226,CLE,WEEKLY_
Y,MAKER_ID_107,2026-04-17,CHECKER_ID_1,2026-04-17,O,7456,A,4902,CLE,WEEKLY_
Y,MAKER_ID_108,2026-04-18,CHECKER_ID_1,2026-04-18,O,7727,A,4987,CLE,WEEKLY_
Y,MAKER_ID_109,2026-04-19,CHECKER_ID_1,2026-04-19,O,9275,A,4857,CLE,WEEKLY_
Y,MAKER_ID_110,2026-04-20,CHECKER_ID_1,2026-04-20,O,3092,A,5320,CLE,WEEKLY_
Y,MAKER_ID_111,2026-04-21,CHECKER_ID_1,2026-04-21,O,1432,A,735,CLE,WEEKLY_
Y,MAKER_ID_112,2026-04-22,CHECKER_ID_1,2026-04-22,O,3832,A,3051,CLE,WEEKLY_
Y,MAKER_ID_113,2026-04-23,CHECKER_ID_1,2026-04-23,O,7030,A,4527,CLE,WEEKLY_
Y,MAKER_ID_114,2026-04-24,CHECKER_ID_1,2026-04-24,O,1026,A,6992,CLE,WEEKLY_
Y,MAKER_ID_115,2026-04-25,CHECKER_ID_1,2026-04-25,O,6481,A,2685,CLE,WEEKLY_
Y,MAKER_ID_116,2026-04-26,CHECKER_ID_1,2026-04-26,O,1565,U,3672,CLE,WEEKLY_
Y,MAKER_ID_117,2026-04-27,CHECKER_ID_1,2026-04-27,O,5464,A,9468,CLE,WEEKLY_
Y,MAKER_ID_118,2026-04-28,CHECKER_ID_1,2026-04-28,O,1126,A,4172,CLE,WEEKLY_
Y,MAKER_ID_119,2026-04-29,CHECKER_ID_1,2026-04-29,O,8707,A,5226,CLE,WEEKLY_
Y,MAKER_ID_120,2026-04-30,CHECKER_ID_1,2026-04-30,O,117,A,3403,CLE,WEEKLY_
Y,MAKER_ID_121,2026-05-01,CHECKER_ID_1,2026-05-01,O,9624,A,112,CLE,WEEKLY_
Y,MAKER_ID_122,2026-05-02,CHECKER_ID_1,2026-05-02,O,1328,A,1857,CLE,WEEKLY_
Y,MAKER_ID_123,2026-05-03,CHECKER_ID_1,2026-05-03,O,1703,A,1530,CLE,WEEKLY_
Y,MAKER_ID_124,2026-05-04,CHECKER_ID_1,2026-05-04,O,6097,A,2975,CLE,WEEKLY_
Y,MAKER_ID_125,2026-05-05,CHECKER_ID_1,2026-05-05,O,8343,A,8141,CLE,WEEKLY_
Y,MAKER_ID_126,2026-05-06,CHECKER_ID_1,2026-05-06,O,1054,A,6096,CLE,WEEKLY_
Y,MAKER_ID_127,2026-05-07,CHECKER_ID_1,2026-05-07,O,121,A,4830,CLE,WEEKLY_
Y,MAKER_ID_128,2026-05-08,CHECKER_ID_1,2026-05-08,O,3054,A,7385,CLE,WEEKLY_
Y,MAKER_ID_129,2026-05-09,CHECKER_ID_1,2026-05-09,O,2453,A,8180,CLE,WEEKLY_
Y,MAKER_ID_130,2026-05-10,CHECKER_ID_1,2026-05-10,O,5472,A,305,CLE,WEEKLY_
Y,MAKER_ID_131,2026-05-11,CHECKER_ID_1,2026-05-11,O,6059,A,4984,CLE,WEEKLY_
Y,MAKER_ID_132,2026-05-12,CHECKER_ID_1,2026-05-12,O,4570,A,3034,CLE,WEEKLY_
Y,MAKER_ID_133,2026-05-13,CHECKER_ID_1,2026-05-13,O,2840,A,6104,CLE,WEEKLY_
Y,MAKER_ID_134,2026-05-14,CHECKER_ID_1,2026-05-14,O,7719,A,2955,CLE,WEEKLY_
Y,MAKER_ID_135,2026-05-15,CHECKER_ID_1,2026-05-15,O,1322,A,1718,CLE,WEEKLY_
Y,MAKER_ID_136,2026-05-16,CHECKER_ID_1,2026-05-16,O,9041,A,1035,CLE,WEEKLY_
Y,MAKER_ID_137,2026-05-17,CHECKER_ID_1,2026-05-17,O,6604,A,3864,CLE,WEEKLY_
Y,MAKER_ID_138,2026-05-18,CHECKER_ID_1,2026-05-18,O,1173,A,9053,CLE,WEEKLY_
Y,MAKER_ID_139,2026-05-19,CHECKER_ID_1,2026-05-19,O,8024,U,9930,CLE,WEEKLY_
Y,MAKER_ID_140,2026-05-20,CHECKER_ID_1,2026-05-20,O,7368,A,4175,CLE,WEEKLY_
Y,MAKER_ID_141,2026-05-21,CHECKER_ID_1,2026-05-21,O,7124,A,6418,CLE,WEEKLY_
Y,MAKER_ID_142,2026-05-22,CHECKER_ID_1,2026-05-22,O,4485,A,2169,CLE,WEEKLY_
Y,MAKER_ID_143,2026-05-23,CHECKER_ID_1,2026-05-23,O,6786,A,8054,CLE,WEEKLY_
Y,MAKER_ID_144,2026-05-24,CHECKER_ID_1,2026-05-24,O,1589,A,998,CLE,WEEKLY_
Y,MAKER_ID_145,2026-05-25,CHECKER_ID_1,2026-05-25,O,740,A,2194,CLE,WEEKLY_
Y,MAKER_ID_146,2026-05-26,CHECKER_ID_1,2026-05-26,O,7893,A,9696,CLE,WEEKLY_
Y,MAKER_ID_147,2026-05-27,CHECKER_ID_1,2026-05-27,O,3680,A,6780,CLE,WEEKLY_
Y,MAKER_ID_148,2026-05-28,CHECKER_ID_1,2026-05-28,O,2546,A,9401,CLE,WEEKLY_
Y,MAKER_ID_149,2026-05-29,CHECKER_ID_1,2026-05-29,O,8684,A,4658,CLE,WEEKLY_
Y,MAKER_ID_150,2026-05-30,CHECKER_ID_1,2026-05-30,O,4041,A,1072,CLE,WEEKLY_
Y,MAKER_ID_151,2026-05-31,CHECKER_ID_1,2026-05-31,O,9904,A,7814,CLE,WEEKLY_
Y,MAKER_ID_152,2026-06-01,CHECKER_ID_1,2026-06-01,O,7655,A,3640,CLE,WEEKLY_
Y,MAKER_ID_153,2026-06-02,CHECKER_ID_1,2026-06-02,O,5848,A,9307,CLE,WEEKLY_
Y,MAKER_ID_154,2026-06-03,CHECKER_ID_1,2026-06-03,O,4211,A,910,CLE,WEEKLY_
Y,MAKER_ID_155,2026-06-04,CHECKER_ID_1,2026-06-04,O,7092,A,2734,CLE,WEEKLY_
Y,MAKER_ID_156,2026-06-05,CHECKER_ID_1,2026-06-05,O,2020,A,9299,CLE,WEEKLY_
Y,MAKER_ID_157,2026-06-06,CHECKER_ID_1,2026-06-06,O,8735,A,370,CLE,WEEKLY_
Y,MAKER_ID_158,2026-06-07,CHECKER_ID_1,2026-06-07,O,1089,A,1496,CLE,WEEKLY_
Y,MAKER_ID_159,2026-06-08,CHECKER_ID_1,2026-06-08,O,8244,A,5670,CLE,WEEKLY_
Y,MAKER_ID_160,2026-06-09,CHECKER_ID_1,2026-06-09,O,8295,A,6315,CLE,WEEKLY_
Y,MAKER_ID_161,2026-06-10,CHECKER_ID_1,2026-06-10,O,4643,A,2416,CLE,WEEKLY_
Y,MAKER_ID_162,2026-06-11,CHECKER_ID_1,2026-06-11,O,2204,U,3944,CLE,WEEKLY_
Y,MAKER_ID_163,2026-06-12,CHECKER_ID_1,2026-06-12,O,2961,A,114,CLE,WEEKLY_
Y,MAKER_ID_164,2026-06-13,CHECKER_ID_1,2026-06-13,O,5705,A,8181,CLE,WEEKLY_
Y,MAKER_ID_165,2026-06-14,CHECKER_ID_1,2026-06-14,O,8664,A,2078,CLE,WEEKLY_
Y,MAKER_ID_166,2026-06-15,CHECKER_ID_1,2026-06-15,O,7547,A,9324,CLE,WEEKLY_
Y,MAKER_ID_167,2026-06-16,CHECKER_ID_1,2026-06-16,O,6914,A,5115,CLE,WEEKLY_
Y,MAKER_ID_168,2026-06-17,CHECKER_ID_1,2026-06-17,O,5877,A,1180,CLE,WEEKLY_
Y,MAKER_ID_169,2026-06-18,CHECKER_ID_1,2026-06-18,O,8215,A,8743,CLE,WEEKLY_
Y,MAKER_ID_170,2026-06-19,CHECKER_ID_1,2026-06-19,O,15,A,8584,CLE,WEEKLY_
Y,MAKER_ID_171,2026-06-20,CHECKER_ID_1,2026-06-20,O,7428,A,8940,CLE,WEEKLY_
Y,MAKER_ID_172,2026-06-21,CHECKER_ID_1,2026-06-21,O,2025,A,2792,CLE,WEEKLY_
Y,MAKER_ID_173,2026-06-22,CHECKER_ID_1,2026-06-22,O,7714,A,8225,CLE,WEEKLY_
Y,MAKER_ID_174,2026-06-23,CHECKER_ID_1,2026-06-23,O,8113,A,1172,CLE,WEEKLY_
Y,MAKER_ID_175,2026-06-24,CHECKER_ID_1,2026-06-24,O,5795,A,6873,CLE,WEEKLY_
Y,MAKER_ID_176,2026-06-25,CHECKER_ID_1,2026-06-25,O,5097,A,9856,CLE,WEEKLY_
Y,MAKER_ID_177,2026-06-26,CHECKER_ID_1,2026-06-26,O,9746,A,2379,CLE,WEEKLY_
Y,MAKER_ID_178,2026-06-27,CHECKER_ID_1,2026-06-27,O,1268,A,824,CLE,WEEKLY_
Y,MAKER_ID_179,2026-06-28,CHECKER_ID_1,2026-06-28,O,8315,A,6872,CLE,WEEKLY_
Y,MAKER_ID_180,2026-06-29,CHECKER_ID_1,2026-06-29,O,9835,A,3230,CLE,WEEKLY_
Y,MAKER_ID_181,2026-06-30,CHECKER_ID_1,2026-06-30,O,241,A,8804,CLE,WEEKLY_
Y,MAKER_ID_182,2026-07-01,CHECKER_ID_1,2026-07-01,O,3590,A,9781,CLE,WEEKLY_
Y,MAKER_ID_183,2026-07-02,CHECKER_ID_1,2026-07-02,O,2439,A,6914,CLE,WEEKLY_
Y,MAKER_ID_184,2026-07-03,CHECKER_ID_1,2026-07-03,O,9748,A,2769,CLE,WEEKLY_
Y,MAKER_ID_185,2026-07-04,CHECKER_ID_1,2026-07-04,O,8025,U,2235,CLE,WEEKLY_
Y,MAKER_ID_186,2026-07-05,CHECKER_ID_1,2026-07-05,O,6093,A,1336,CLE,WEEKLY_
Y,MAKER_ID_187,2026-07-06,CHECKER_ID_1,2026-07-06,O,2148,A,3772,CLE,WEEKLY_
Y,MAKER_ID_188,2026-07-07,CHECKER_ID_1,2026-07-07,O,3066,A,7700,CLE,WEEKLY_
Y,MAKER_ID_189,2026-07-08,CHECKER_ID_1,2026-07-08,O,8034,A,8262,CLE,WEEKLY_
Y,MAKER_ID_190,2026-07-09,CHECKER_ID_1,2026-07-09,O,724,A,6938,CLE,WEEKLY_
Y,MAKER_ID_191,2026-07-10,CHECKER_ID_1,2026-07-10,O,6092,A,3850,CLE,WEEKLY_
Y,MAKER_ID_192,2026-07-11,CHECKER_ID_1,2026-07-11,O,9706,A,1594,CLE,WEEKLY_
Y,MAKER_ID_193,2026-07-12,CHECKER_ID_1,2026-07-12,O,4244,A,2747,CLE,WEEKLY_
Y,MAKER_ID_194,2026-07-13,CHECKER_ID_1,2026-07-13,O,7546,A,1591,CLE,WEEKLY_
Y,MAKER_ID_195,2026-07-14,CHECKER_ID_1,2026-07-14,O,1302,A,1332,CLE,WEEKLY_
Y,MAKER_ID_196,2026-07-15,CHECKER_ID_1,2026-07-15,O,4525,A,3738,CLE,WEEKLY_
Y,MAKER_ID_197,2026-07-16,CHECKER_ID_1,2026-07-16,O,1540,A,3675,CLE,WEEKLY_
Y,MAKER_ID_198,2026-07-17,CHECKER_ID_1,2026-07-17,O,473,A,1956,CLE,WEEKLY_
Y,MAKER_ID_199,2026-07-18,CHECKER_ID_1,2026-07-18,O,9754,A,9500,CLE,WEEKLY_
Y,MAKER_ID_200,2026-07-19,CHECKER_ID_2,2026-07-19,O,3348,A,8703,CLE,WEEKLY_
Y,MAKER_ID_201,2026-07-20,CHECKER_ID_2,2026-07-20,O,4882,A,8173,CLE,WEEKLY_
Y,MAKER_ID_202,2026-07-21,CHECKER_ID_2,2026-07-21,O,4825,A,9707,CLE,WEEKLY_
Y,MAKER_ID_203,2026-07-22,CHECKER_ID_2,2026-07-22,O,2167,A,3170,CLE,WEEKLY_
Y,MAKER_ID_204,2026-07-23,CHECKER_ID_2,2026-07-23,O,7085,A,3993,CLE,WEEKLY_
Y,MAKER_ID_205,2026-07-24,CHECKER_ID_2,2026-07-24,O,3523,A,1528,CLE,WEEKLY_
Y,MAKER_ID_206,2026-07-25,CHECKER_ID_2,2026-07-25,O,3525,A,4090,CLE,WEEKLY_
Y,MAKER_ID_207,2026-07-26,CHECKER_ID_2,2026-07-26,O,3345,A,2588,CLE,WEEKLY_
Y,MAKER_ID_208,2026-07-27,CHECKER_ID_2,2026-07-27,O,1561,U,9256,CLE,WEEKLY_
Y,MAKER_ID_209,2026-07-28,CHECKER_ID_2,2026-07-28,O,6638,A,1745,CLE,WEEKLY_
Y,MAKER_ID_210,2026-07-29,CHECKER_ID_2,2026-07-29,O,8783,A,8842,CLE,WEEKLY_
Y,MAKER_ID_211,2026-07-30,CHECKER_ID_2,2026-07-30,O,6073,A,2670,CLE,WEEKLY_
Y,MAKER_ID_212,2026-07-31,CHECKER_ID_2,2026-07-31,O,2878,A,9619,CLE,WEEKLY_
Y,MAKER_ID_213,2026-08-01,CHECKER_ID_2,2026-08-01,O,6527,A,6334,CLE,WEEKLY_
Y,MAKER_ID_214,2026-08-02,CHECKER_ID_2,2026-08-02,O,4175,A,3201,CLE,WEEKLY_
Y,MAKER_ID_215,2026-08-03,CHECKER_ID_2,2026-08-03,O,2489,A,5907,CLE,WEEKLY_
Y,MAKER_ID_216,2026-08-04,CHECKER_ID_2,2026-08-04,O,2564,A,7853,CLE,WEEKLY_
Y,MAKER_ID_217,2026-08-05,CHECKER_ID_2,2026-08-05,O,5678,A,4857,CLE,WEEKLY_
Y,MAKER_ID_218,2026-08-06,CHECKER_ID_2,2026-08-06,O,7491,A,3496,CLE,WEEKLY_
Y,MAKER_ID_219,2026-08-07,CHECKER_ID_2,2026-08-07,O,3587,A,5028,CLE,WEEKLY_
Y,MAKER_ID_220,2026-08-08,CHECKER_ID_2,2026-08-08,O,2908,A,7929,CLE,WEEKLY_
Y,MAKER_ID_221,2026-08-09,CHECKER_ID_2,2026-08-09,O,9374,A,3064,CLE,WEEKLY_
Y,MAKER_ID_222,2026-08-10,CHECKER_ID_2,2026-08-10,O,1465,A,868,CLE,WEEKLY_
Y,MAKER_ID_223,2026-08-11,CHECKER_ID_2,2026-08-11,O,2559,A,2752,CLE,WEEKLY_
Y,MAKER_ID_224,2026-08-12,CHECKER_ID_2,2026-08-12,O,122,A,3796,CLE,WEEKLY_
Y,MAKER_ID_225,2026-08-13,CHECKER_ID_2,2026-08-13,O,8773,A,5468,CLE,WEEKLY_
Y,MAKER_ID_226,2026-08-14,CHECKER_ID_2,2026-08-14,O,9701,A,1750,CLE,WEEKLY_
Y,MAKER_ID_227,2026-08-15,CHECKER_ID_2,2026-08-15,O,4818,A,2620,CLE,WEEKLY_
Y,MAKER_ID_228,2026-08-16,CHECKER_ID_2,2026-08-16,O,1029,A,5754,CLE,WEEKLY_
Y,MAKER_ID_229,2026-08-17,CHECKER_ID_2,2026-08-17,O,1804,A,87,CLE,WEEKLY_
Y,MAKER_ID_230,2026-08-18,CHECKER_ID_2,2026-08-18,O,3392,A,9592,CLE,WEEKLY_
