COD_RECTYPE,COD_MODULE,COD_TS_FORMAT,COD_INT_COL,IDENTIFIER,COD_COL,COD_TAG_POS,COD_TAG_MODE,COD_TYPE,COD_TNAME,COD_CUBE_FORMAT,COD_CUBE_DEFAULTS,COD_CUBE_REFCHKS,COD_CUBE_COL,FLG_CUBE,COD_CUBE_DEFIND,COD_CUBE_KEYCNT,COD_CUBE_FUNCID,COD_CUBE_MAND,COD_CUBE_FLDNAME,COD_CUBE_KEYFLDS,COD_CUBE_DTYPE,COD_CUBE_DLENGTH,COD_CUBE_TRACK,COD_CUBE_MODIND,COD_PROC_TAG,COD_HEADER,COD_DATA_LENGTH,COD_DATA_TYPE,COD_MANDATORY,TYPE_OF_INTERFACE,MULTI_RECORD,FUNCTION_ID
COD_RECTYPE_11,CO,COD_TS_FORMAT_11,484988,IDENTIFIER_11,COD_COL_11,COD_TAG_POS_11,COD_TAG_MODE_11,C,Cod Tname 11,COD_CUBE_FORMAT_11,COD_CUBE_DEFAULTS_11,COD_CUBE_REFCHKS_11,897903,F,COD_CUBE_DEFIND_11,119176,COD_CUBE_FUNCID_11,COD_CUBE_MAND_11,Cod Cube Fldname 11,COD_CUBE_KEYFLDS_11,COD_CUBE_DTYPE_11,COD_CUBE_DLENGTH_11,COD_CUBE_TRACK_11,COD_CUBE_MODIND_11,COD_PROC_TAG_11,780096,COD_DATA_LENGTH_11,COD_DATA_TYPE_11,COD_MANDATORY_11,T,M,FUNCTION_ID_11
COD_RECTYPE_12,CO,COD_TS_FORMAT_12,469280,IDENTIFIER_12,COD_COL_12,COD_TAG_POS_12,COD_TAG_MODE_12,C,Cod Tname 12,COD_CUBE_FORMAT_12,COD_CUBE_DEFAULTS_12,COD_CUBE_REFCHKS_12,735078,F,COD_CUBE_DEFIND_12,903237,COD_CUBE_FUNCID_12,COD_CUBE_MAND_12,Cod Cube Fldname 12,COD_CUBE_KEYFLDS_12,COD_CUBE_DTYPE_12,COD_CUBE_DLENGTH_12,COD_CUBE_TRACK_12,COD_CUBE_MODIND_12,COD_PROC_TAG_12,24211,COD_DATA_LENGTH_12,COD_DATA_TYPE_12,COD_MANDATORY_12,T,M,FUNCTION_ID_12
COD_RECTYPE_13,CO,COD_TS_FORMAT_13,234548,IDENTIFIER_13,COD_COL_13,COD_TAG_POS_13,COD_TAG_MODE_13,C,Cod Tname 13,COD_CUBE_FORMAT_13,COD_CUBE_DEFAULTS_13,COD_CUBE_REFCHKS_13,342106,F,COD_CUBE_DEFIND_13,380081,COD_CUBE_FUNCID_13,COD_CUBE_MAND_13,Cod Cube Fldname 13,COD_CUBE_KEYFLDS_13,COD_CUBE_DTYPE_13,COD_CUBE_DLENGTH_13,COD_CUBE_TRACK_13,COD_CUBE_MODIND_13,COD_PROC_TAG_13,547235,COD_DATA_LENGTH_13,COD_DATA_TYPE_13,COD_MANDATORY_13,T,M,FUNCTION_ID_13
COD_RECTYPE_14,CO,COD_TS_FORMAT_14,25565,IDENTIFIER_14,COD_COL_14,COD_TAG_POS_14,COD_TAG_MODE_14,C,Cod Tname 14,COD_CUBE_FORMAT_14,COD_CUBE_DEFAULTS_14,COD_CUBE_REFCHKS_14,560171,F,COD_CUBE_DEFIND_14,511157,COD_CUBE_FUNCID_14,COD_CUBE_MAND_14,Cod Cube Fldname 14,COD_CUBE_KEYFLDS_14,COD_CUBE_DTYPE_14,COD_CUBE_DLENGTH_14,COD_CUBE_TRACK_14,COD_CUBE_MODIND_14,COD_PROC_TAG_14,607414,COD_DATA_LENGTH_14,COD_DATA_TYPE_14,COD_MANDATORY_14,T,M,FUNCTION_ID_14
COD_RECTYPE_15,CO,COD_TS_FORMAT_15,511159,IDENTIFIER_15,COD_COL_15,COD_TAG_POS_15,COD_TAG_MODE_15,C,Cod Tname 15,COD_CUBE_FORMAT_15,COD_CUBE_DEFAULTS_15,COD_CUBE_REFCHKS_15,967326,F,COD_CUBE_DEFIND_15,795692,COD_CUBE_FUNCID_15,COD_CUBE_MAND_15,Cod Cube Fldname 15,COD_CUBE_KEYFLDS_15,COD_CUBE_DTYPE_15,COD_CUBE_DLENGTH_15,COD_CUBE_TRACK_15,COD_CUBE_MODIND_15,COD_PROC_TAG_15,627431,COD_DATA_LENGTH_15,COD_DATA_TYPE_15,COD_MANDATORY_15,T,M,FUNCTION_ID_15
COD_RECTYPE_16,CO,COD_TS_FORMAT_16,451255,IDENTIFIER_16,COD_COL_16,COD_TAG_POS_16,COD_TAG_MODE_16,C,Cod Tname 16,COD_CUBE_FORMAT_16,COD_CUBE_DEFAULTS_16,COD_CUBE_REFCHKS_16,856428,F,COD_CUBE_DEFIND_16,114607,COD_CUBE_FUNCID_16,COD_CUBE_MAND_16,Cod Cube Fldname 16,COD_CUBE_KEYFLDS_16,COD_CUBE_DTYPE_16,COD_CUBE_DLENGTH_16,COD_CUBE_TRACK_16,COD_CUBE_MODIND_16,COD_PROC_TAG_16,122850,COD_DATA_LENGTH_16,COD_DATA_TYPE_16,COD_MANDATORY_16,T,M,FUNCTION_ID_16
COD_RECTYPE_17,CO,COD_TS_FORMAT_17,170766,IDENTIFIER_17,COD_COL_17,COD_TAG_POS_17,COD_TAG_MODE_17,C,Cod Tname 17,COD_CUBE_FORMAT_17,COD_CUBE_DEFAULTS_17,COD_CUBE_REFCHKS_17,631481,F,COD_CUBE_DEFIND_17,169167,COD_CUBE_FUNCID_17,COD_CUBE_MAND_17,Cod Cube Fldname 17,COD_CUBE_KEYFLDS_17,COD_CUBE_DTYPE_17,COD_CUBE_DLENGTH_17,COD_CUBE_TRACK_17,COD_CUBE_MODIND_17,COD_PROC_TAG_17,27664,COD_DATA_LENGTH_17,COD_DATA_TYPE_17,COD_MANDATORY_17,T,M,FUNCTION_ID_17
COD_RECTYPE_18,CO,COD_TS_FORMAT_18,716201,IDENTIFIER_18,COD_COL_18,COD_TAG_POS_18,COD_TAG_MODE_18,C,Cod Tname 18,COD_CUBE_FORMAT_18,COD_CUBE_DEFAULTS_18,COD_CUBE_REFCHKS_18,425385,F,COD_CUBE_DEFIND_18,748435,COD_CUBE_FUNCID_18,COD_CUBE_MAND_18,Cod Cube Fldname 18,COD_CUBE_KEYFLDS_18,COD_CUBE_DTYPE_18,COD_CUBE_DLENGTH_18,COD_CUBE_TRACK_18,COD_CUBE_MODIND_18,COD_PROC_TAG_18,694576,COD_DATA_LENGTH_18,COD_DATA_TYPE_18,COD_MANDATORY_18,T,M,FUNCTION_ID_18
COD_RECTYPE_19,CO,COD_TS_FORMAT_19,55788,IDENTIFIER_19,COD_COL_19,COD_TAG_POS_19,COD_TAG_MODE_19,C,Cod Tname 19,COD_CUBE_FORMAT_19,COD_CUBE_DEFAULTS_19,COD_CUBE_REFCHKS_19,56514,F,COD_CUBE_DEFIND_19,810340,COD_CUBE_FUNCID_19,COD_CUBE_MAND_19,Cod Cube Fldname 19,COD_CUBE_KEYFLDS_19,COD_CUBE_DTYPE_19,COD_CUBE_DLENGTH_19,COD_CUBE_TRACK_19,COD_CUBE_MODIND_19,COD_PROC_TAG_19,702691,COD_DATA_LENGTH_19,COD_DATA_TYPE_19,COD_MANDATORY_19,T,M,FUNCTION_ID_19
COD_RECTYPE_20,CO,COD_TS_FORMAT_20,157820,IDENTIFIER_20,COD_COL_20,COD_TAG_POS_20,COD_TAG_MODE_20,C,Cod Tname 20,COD_CUBE_FORMAT_20,COD_CUBE_DEFAULTS_20,COD_CUBE_REFCHKS_20,104806,F,COD_CUBE_DEFIND_20,723266,COD_CUBE_FUNCID_20,COD_CUBE_MAND_20,Cod Cube Fldname 20,COD_CUBE_KEYFLDS_20,COD_CUBE_DTYPE_20,COD_CUBE_DLENGTH_20,COD_CUBE_TRACK_20,COD_CUBE_MODIND_20,COD_PROC_TAG_20,755117,COD_DATA_LENGTH_20,COD_DATA_TYPE_20,COD_MANDATORY_20,T,M,FUNCTION_ID_20
COD_RECTYPE_21,CO,COD_TS_FORMAT_21,753765,IDENTIFIER_21,COD_COL_21,COD_TAG_POS_21,COD_TAG_MODE_21,C,Cod Tname 21,COD_CUBE_FORMAT_21,COD_CUBE_DEFAULTS_21,COD_CUBE_REFCHKS_21,512867,F,COD_CUBE_DEFIND_21,866271,COD_CUBE_FUNCID_21,COD_CUBE_MAND_21,Cod Cube Fldname 21,COD_CUBE_KEYFLDS_21,COD_CUBE_DTYPE_21,COD_CUBE_DLENGTH_21,COD_CUBE_TRACK_21,COD_CUBE_MODIND_21,COD_PROC_TAG_21,2502,COD_DATA_LENGTH_21,COD_DATA_TYPE_21,COD_MANDATORY_21,T,M,FUNCTION_ID_21
COD_RECTYPE_22,CO,COD_TS_FORMAT_22,203678,IDENTIFIER_22,COD_COL_22,COD_TAG_POS_22,COD_TAG_MODE_22,C,Cod Tname 22,COD_CUBE_FORMAT_22,COD_CUBE_DEFAULTS_22,COD_CUBE_REFCHKS_22,465597,F,COD_CUBE_DEFIND_22,681557,COD_CUBE_FUNCID_22,COD_CUBE_MAND_22,Cod Cube Fldname 22,COD_CUBE_KEYFLDS_22,COD_CUBE_DTYPE_22,COD_CUBE_DLENGTH_22,COD_CUBE_TRACK_22,COD_CUBE_MODIND_22,COD_PROC_TAG_22,990286,COD_DATA_LENGTH_22,COD_DATA_TYPE_22,COD_MANDATORY_22,T,M,FUNCTION_ID_22
COD_RECTYPE_23,CO,COD_TS_FORMAT_23,263034,IDENTIFIER_23,COD_COL_23,COD_TAG_POS_23,COD_TAG_MODE_23,C,Cod Tname 23,COD_CUBE_FORMAT_23,COD_CUBE_DEFAULTS_23,COD_CUBE_REFCHKS_23,886497,F,COD_CUBE_DEFIND_23,725580,COD_CUBE_FUNCID_23,COD_CUBE_MAND_23,Cod Cube Fldname 23,COD_CUBE_KEYFLDS_23,COD_CUBE_DTYPE_23,COD_CUBE_DLENGTH_23,COD_CUBE_TRACK_23,COD_CUBE_MODIND_23,COD_PROC_TAG_23,914755,COD_DATA_LENGTH_23,COD_DATA_TYPE_23,COD_MANDATORY_23,T,M,FUNCTION_ID_23
COD_RECTYPE_24,CO,COD_TS_FORMAT_24,159590,IDENTIFIER_24,COD_COL_24,COD_TAG_POS_24,COD_TAG_MODE_24,C,Cod Tname 24,COD_CUBE_FORMAT_24,COD_CUBE_DEFAULTS_24,COD_CUBE_REFCHKS_24,557599,F,COD_CUBE_DEFIND_24,903817,COD_CUBE_FUNCID_24,COD_CUBE_MAND_24,Cod Cube Fldname 24,COD_CUBE_KEYFLDS_24,COD_CUBE_DTYPE_24,COD_CUBE_DLENGTH_24,COD_CUBE_TRACK_24,COD_CUBE_MODIND_24,COD_PROC_TAG_24,607956,COD_DATA_LENGTH_24,COD_DATA_TYPE_24,COD_MANDATORY_24,T,M,FUNCTION_ID_24
COD_RECTYPE_25,CO,COD_TS_FORMAT_25,298201,IDENTIFIER_25,COD_COL_25,COD_TAG_POS_25,COD_TAG_MODE_25,C,Cod Tname 25,COD_CUBE_FORMAT_25,COD_CUBE_DEFAULTS_25,COD_CUBE_REFCHKS_25,567484,F,COD_CUBE_DEFIND_25,359748,COD_CUBE_FUNCID_25,COD_CUBE_MAND_25,Cod Cube Fldname 25,COD_CUBE_KEYFLDS_25,COD_CUBE_DTYPE_25,COD_CUBE_DLENGTH_25,COD_CUBE_TRACK_25,COD_CUBE_MODIND_25,COD_PROC_TAG_25,295683,COD_DATA_LENGTH_25,COD_DATA_TYPE_25,COD_MANDATORY_25,T,M,FUNCTION_ID_25
COD_RECTYPE_26,CO,COD_TS_FORMAT_26,356199,IDENTIFIER_26,COD_COL_26,COD_TAG_POS_26,COD_TAG_MODE_26,C,Cod Tname 26,COD_CUBE_FORMAT_26,COD_CUBE_DEFAULTS_26,COD_CUBE_REFCHKS_26,472199,F,COD_CUBE_DEFIND_26,779322,COD_CUBE_FUNCID_26,COD_CUBE_MAND_26,Cod Cube Fldname 26,COD_CUBE_KEYFLDS_26,COD_CUBE_DTYPE_26,COD_CUBE_DLENGTH_26,COD_CUBE_TRACK_26,COD_CUBE_MODIND_26,COD_PROC_TAG_26,156441,COD_DATA_LENGTH_26,COD_DATA_TYPE_26,COD_MANDATORY_26,T,M,FUNCTION_ID_26
COD_RECTYPE_27,CO,COD_TS_FORMAT_27,317454,IDENTIFIER_27,COD_COL_27,COD_TAG_POS_27,COD_TAG_MODE_27,C,Cod Tname 27,COD_CUBE_FORMAT_27,COD_CUBE_DEFAULTS_27,COD_CUBE_REFCHKS_27,695205,F,COD_CUBE_DEFIND_27,213614,COD_CUBE_FUNCID_27,COD_CUBE_MAND_27,Cod Cube Fldname 27,COD_CUBE_KEYFLDS_27,COD_CUBE_DTYPE_27,COD_CUBE_DLENGTH_27,COD_CUBE_TRACK_27,COD_CUBE_MODIND_27,COD_PROC_TAG_27,152904,COD_DATA_LENGTH_27,COD_DATA_TYPE_27,COD_MANDATORY_27,T,M,FUNCTION_ID_27
COD_RECTYPE_28,CO,COD_TS_FORMAT_28,123317,IDENTIFIER_28,COD_COL_28,COD_TAG_POS_28,COD_TAG_MODE_28,C,Cod Tname 28,COD_CUBE_FORMAT_28,COD_CUBE_DEFAULTS_28,COD_CUBE_REFCHKS_28,539249,F,COD_CUBE_DEFIND_28,195500,COD_CUBE_FUNCID_28,COD_CUBE_MAND_28,Cod Cube Fldname 28,COD_CUBE_KEYFLDS_28,COD_CUBE_DTYPE_28,COD_CUBE_DLENGTH_28,COD_CUBE_TRACK_28,COD_CUBE_MODIND_28,COD_PROC_TAG_28,849512,COD_DATA_LENGTH_28,COD_DATA_TYPE_28,COD_MANDATORY_28,T,M,FUNCTION_ID_28
COD_RECTYPE_29,CO,COD_TS_FORMAT_29,306541,IDENTIFIER_29,COD_COL_29,COD_TAG_POS_29,COD_TAG_MODE_29,C,Cod Tname 29,COD_CUBE_FORMAT_29,COD_CUBE_DEFAULTS_29,COD_CUBE_REFCHKS_29,340648,F,COD_CUBE_DEFIND_29,557591,COD_CUBE_FUNCID_29,COD_CUBE_MAND_29,Cod Cube Fldname 29,COD_CUBE_KEYFLDS_29,COD_CUBE_DTYPE_29,COD_CUBE_DLENGTH_29,COD_CUBE_TRACK_29,COD_CUBE_MODIND_29,COD_PROC_TAG_29,122420,COD_DATA_LENGTH_29,COD_DATA_TYPE_29,COD_MANDATORY_29,T,M,FUNCTION_ID_29
COD_RECTYPE_30,CO,COD_TS_FORMAT_30,987186,IDENTIFIER_30,COD_COL_30,COD_TAG_POS_30,COD_TAG_MODE_30,C,Cod Tname 30,COD_CUBE_FORMAT_30,COD_CUBE_DEFAULTS_30,COD_CUBE_REFCHKS_30,70896,F,COD_CUBE_DEFIND_30,856733,COD_CUBE_FUNCID_30,COD_CUBE_MAND_30,Cod Cube Fldname 30,COD_CUBE_KEYFLDS_30,COD_CUBE_DTYPE_30,COD_CUBE_DLENGTH_30,COD_CUBE_TRACK_30,COD_CUBE_MODIND_30,COD_PROC_TAG_30,509899,COD_DATA_LENGTH_30,COD_DATA_TYPE_30,COD_MANDATORY_30,T,M,FUNCTION_ID_30
COD_RECTYPE_31,CO,COD_TS_FORMAT_31,865832,IDENTIFIER_31,COD_COL_31,COD_TAG_POS_31,COD_TAG_MODE_31,C,Cod Tname 31,COD_CUBE_FORMAT_31,COD_CUBE_DEFAULTS_31,COD_CUBE_REFCHKS_31,925460,F,COD_CUBE_DEFIND_31,872896,COD_CUBE_FUNCID_31,COD_CUBE_MAND_31,Cod Cube Fldname 31,COD_CUBE_KEYFLDS_31,COD_CUBE_DTYPE_31,COD_CUBE_DLENGTH_31,COD_CUBE_TRACK_31,COD_CUBE_MODIND_31,COD_PROC_TAG_31,662415,COD_DATA_LENGTH_31,COD_DATA_TYPE_31,COD_MANDATORY_31,T,M,FUNCTION_ID_31
COD_RECTYPE_32,CO,COD_TS_FORMAT_32,400110,IDENTIFIER_32,COD_COL_32,COD_TAG_POS_32,COD_TAG_MODE_32,C,Cod Tname 32,COD_CUBE_FORMAT_32,COD_CUBE_DEFAULTS_32,COD_CUBE_REFCHKS_32,488144,F,COD_CUBE_DEFIND_32,235026,COD_CUBE_FUNCID_32,COD_CUBE_MAND_32,Cod Cube Fldname 32,COD_CUBE_KEYFLDS_32,COD_CUBE_DTYPE_32,COD_CUBE_DLENGTH_32,COD_CUBE_TRACK_32,COD_CUBE_MODIND_32,COD_PROC_TAG_32,103300,COD_DATA_LENGTH_32,COD_DATA_TYPE_32,COD_MANDATORY_32,T,M,FUNCTION_ID_32
COD_RECTYPE_33,CO,COD_TS_FORMAT_33,165677,IDENTIFIER_33,COD_COL_33,COD_TAG_POS_33,COD_TAG_MODE_33,C,Cod Tname 33,COD_CUBE_FORMAT_33,COD_CUBE_DEFAULTS_33,COD_CUBE_REFCHKS_33,516822,F,COD_CUBE_DEFIND_33,54044,COD_CUBE_FUNCID_33,COD_CUBE_MAND_33,Cod Cube Fldname 33,COD_CUBE_KEYFLDS_33,COD_CUBE_DTYPE_33,COD_CUBE_DLENGTH_33,COD_CUBE_TRACK_33,COD_CUBE_MODIND_33,COD_PROC_TAG_33,602062,COD_DATA_LENGTH_33,COD_DATA_TYPE_33,COD_MANDATORY_33,T,M,FUNCTION_ID_33
COD_RECTYPE_34,CO,COD_TS_FORMAT_34,966127,IDENTIFIER_34,COD_COL_34,COD_TAG_POS_34,COD_TAG_MODE_34,C,Cod Tname 34,COD_CUBE_FORMAT_34,COD_CUBE_DEFAULTS_34,COD_CUBE_REFCHKS_34,517783,F,COD_CUBE_DEFIND_34,133961,COD_CUBE_FUNCID_34,COD_CUBE_MAND_34,Cod Cube Fldname 34,COD_CUBE_KEYFLDS_34,COD_CUBE_DTYPE_34,COD_CUBE_DLENGTH_34,COD_CUBE_TRACK_34,COD_CUBE_MODIND_34,COD_PROC_TAG_34,100380,COD_DATA_LENGTH_34,COD_DATA_TYPE_34,COD_MANDATORY_34,T,M,FUNCTION_ID_34
COD_RECTYPE_35,CO,COD_TS_FORMAT_35,337090,IDENTIFIER_35,COD_COL_35,COD_TAG_POS_35,COD_TAG_MODE_35,C,Cod Tname 35,COD_CUBE_FORMAT_35,COD_CUBE_DEFAULTS_35,COD_CUBE_REFCHKS_35,726951,F,COD_CUBE_DEFIND_35,558835,COD_CUBE_FUNCID_35,COD_CUBE_MAND_35,Cod Cube Fldname 35,COD_CUBE_KEYFLDS_35,COD_CUBE_DTYPE_35,COD_CUBE_DLENGTH_35,COD_CUBE_TRACK_35,COD_CUBE_MODIND_35,COD_PROC_TAG_35,984582,COD_DATA_LENGTH_35,COD_DATA_TYPE_35,COD_MANDATORY_35,T,M,FUNCTION_ID_35
COD_RECTYPE_36,CO,COD_TS_FORMAT_36,743266,IDENTIFIER_36,COD_COL_36,COD_TAG_POS_36,COD_TAG_MODE_36,C,Cod Tname 36,COD_CUBE_FORMAT_36,COD_CUBE_DEFAULTS_36,COD_CUBE_REFCHKS_36,35564,F,COD_CUBE_DEFIND_36,918678,COD_CUBE_FUNCID_36,COD_CUBE_MAND_36,Cod Cube Fldname 36,COD_CUBE_KEYFLDS_36,COD_CUBE_DTYPE_36,COD_CUBE_DLENGTH_36,COD_CUBE_TRACK_36,COD_CUBE_MODIND_36,COD_PROC_TAG_36,212549,COD_DATA_LENGTH_36,COD_DATA_TYPE_36,COD_MANDATORY_36,T,M,FUNCTION_ID_36
