MODULE,CONTRACT_REF_NO,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,EVENT_SEQ_NO,EVENT_DATE,EVENT_CODE,CONTRACT_STATUS,AUTH_STATUS,NEW_VERSION_INDICATOR,REVERSED_EVENT_SEQ_NO,EVENT_VALUE_DATE,ECA_STATUS,WORKFLOW_STATUS,RATE_REVISION_STATUS,RELEASE_BY,RELEASE_DT_STAMP,RATE_ASSIGNED_BY,RATE_ASSIGN_DT_STAMP,RATE_ASSIGN_AUTH_BY,RATE_ASSIGN_AUTH_DT_STAMP,INFORM_STATUS,TRN_TYPE,CUTOFF_STATUS,CUTOFF_EVENT_SEQ_NO,TXN_ID,TXN_BRANCH,ARCHIVE_DATE
MO,CONTRACT_REF_NO_,MAKER_ID_22,2026-01-22,CHECKER_ID_2,2026-01-22,729724,2026-01-22,EVEN,C,A,N,3986,2026-01-22,E,WO,RA,RELEASE_BY_2,2026-01-22,RATE_ASSIGNE,2026-01-22,RATE_ASSIGN_,2026-01-22,I,TRN_TYPE_2,C,9696,TXN0000000000000022,022,2026-01-22
MO,CONTRACT_REF_NO_,MAKER_ID_23,2026-01-23,CHECKER_ID_2,2026-01-23,890601,2026-01-23,EVEN,C,A,N,8554,2026-01-23,E,WO,RA,RELEASE_BY_2,2026-01-23,RATE_ASSIGNE,2026-01-23,RATE_ASSIGN_,2026-01-23,I,TRN_TYPE_2,C,6461,TXN0000000000000023,023,2026-01-23
MO,CONTRACT_REF_NO_,MAKER_ID_24,2026-01-24,CHECKER_ID_2,2026-01-24,688911,2026-01-24,EVEN,C,U,N,7881,2026-01-24,E,WO,RA,RELEASE_BY_2,2026-01-24,RATE_ASSIGNE,2026-01-24,RATE_ASSIGN_,2026-01-24,I,TRN_TYPE_2,C,7219,TXN0000000000000024,024,2026-01-24
MO,CONTRACT_REF_NO_,MAKER_ID_25,2026-01-25,CHECKER_ID_2,2026-01-25,615556,2026-01-25,EVEN,C,A,N,9966,2026-01-25,E,WO,RA,RELEASE_BY_2,2026-01-25,RATE_ASSIGNE,2026-01-25,RATE_ASSIGN_,2026-01-25,I,TRN_TYPE_2,C,3416,TXN0000000000000025,025,2026-01-25
MO,CONTRACT_REF_NO_,MAKER_ID_26,2026-01-26,CHECKER_ID_2,2026-01-26,706793,2026-01-26,EVEN,C,A,N,3172,2026-01-26,E,WO,RA,RELEASE_BY_2,2026-01-26,RATE_ASSIGNE,2026-01-26,RATE_ASSIGN_,2026-01-26,I,TRN_TYPE_2,C,3227,TXN0000000000000026,001,2026-01-26
MO,CONTRACT_REF_NO_,MAKER_ID_27,2026-01-27,CHECKER_ID_2,2026-01-27,523577,2026-01-27,EVEN,C,A,N,1120,2026-01-27,E,WO,RA,RELEASE_BY_2,2026-01-27,RATE_ASSIGNE,2026-01-27,RATE_ASSIGN_,2026-01-27,I,TRN_TYPE_2,C,4269,TXN0000000000000027,002,2026-01-27
MO,CONTRACT_REF_NO_,MAKER_ID_28,2026-01-28,CHECKER_ID_2,2026-01-28,618089,2026-01-28,EVEN,C,A,N,678,2026-01-28,E,WO,RA,RELEASE_BY_2,2026-01-28,RATE_ASSIGNE,2026-01-28,RATE_ASSIGN_,2026-01-28,I,TRN_TYPE_2,C,3176,TXN0000000000000028,003,2026-01-28
MO,CONTRACT_REF_NO_,MAKER_ID_29,2026-01-29,CHECKER_ID_2,2026-01-29,83147,2026-01-29,EVEN,C,A,N,4063,2026-01-29,E,WO,RA,RELEASE_BY_2,2026-01-29,RATE_ASSIGNE,2026-01-29,RATE_ASSIGN_,2026-01-29,I,TRN_TYPE_2,C,2193,TXN0000000000000029,004,2026-01-29
MO,CONTRACT_REF_NO_,MAKER_ID_30,2026-01-30,CHECKER_ID_3,2026-01-30,914852,2026-01-30,EVEN,C,A,N,4195,2026-01-30,E,WO,RA,RELEASE_BY_3,2026-01-30,RATE_ASSIGNE,2026-01-30,RATE_ASSIGN_,2026-01-30,I,TRN_TYPE_3,C,2587,TXN0000000000000030,005,2026-01-30
MO,CONTRACT_REF_NO_,MAKER_ID_31,2026-01-31,CHECKER_ID_3,2026-01-31,324734,2026-01-31,EVEN,C,A,N,6557,2026-01-31,E,WO,RA,RELEASE_BY_3,2026-01-31,RATE_ASSIGNE,2026-01-31,RATE_ASSIGN_,2026-01-31,I,TRN_TYPE_3,C,5477,TXN0000000000000031,006,2026-01-31
MO,CONTRACT_REF_NO_,MAKER_ID_32,2026-02-01,CHECKER_ID_3,2026-02-01,718412,2026-02-01,EVEN,C,A,N,2128,2026-02-01,E,WO,RA,RELEASE_BY_3,2026-02-01,RATE_ASSIGNE,2026-02-01,RATE_ASSIGN_,2026-02-01,I,TRN_TYPE_3,C,6278,TXN0000000000000032,007,2026-02-01
MO,CONTRACT_REF_NO_,MAKER_ID_33,2026-02-02,CHECKER_ID_3,2026-02-02,861731,2026-02-02,EVEN,C,A,N,8427,2026-02-02,E,WO,RA,RELEASE_BY_3,2026-02-02,RATE_ASSIGNE,2026-02-02,RATE_ASSIGN_,2026-02-02,I,TRN_TYPE_3,C,1054,TXN0000000000000033,008,2026-02-02
MO,CONTRACT_REF_NO_,MAKER_ID_34,2026-02-03,CHECKER_ID_3,2026-02-03,790629,2026-02-03,EVEN,C,A,N,466,2026-02-03,E,WO,RA,RELEASE_BY_3,2026-02-03,RATE_ASSIGNE,2026-02-03,RATE_ASSIGN_,2026-02-03,I,TRN_TYPE_3,C,4282,TXN0000000000000034,009,2026-02-03
MO,CONTRACT_REF_NO_,MAKER_ID_35,2026-02-04,CHECKER_ID_3,2026-02-04,275338,2026-02-04,EVEN,C,A,N,9874,2026-02-04,E,WO,RA,RELEASE_BY_3,2026-02-04,RATE_ASSIGNE,2026-02-04,RATE_ASSIGN_,2026-02-04,I,TRN_TYPE_3,C,1847,TXN0000000000000035,010,2026-02-04
MO,CONTRACT_REF_NO_,MAKER_ID_36,2026-02-05,CHECKER_ID_3,2026-02-05,656391,2026-02-05,EVEN,C,A,N,2636,2026-02-05,E,WO,RA,RELEASE_BY_3,2026-02-05,RATE_ASSIGNE,2026-02-05,RATE_ASSIGN_,2026-02-05,I,TRN_TYPE_3,C,2205,TXN0000000000000036,011,2026-02-05
MO,CONTRACT_REF_NO_,MAKER_ID_37,2026-02-06,CHECKER_ID_3,2026-02-06,72068,2026-02-06,EVEN,C,A,N,2113,2026-02-06,E,WO,RA,RELEASE_BY_3,2026-02-06,RATE_ASSIGNE,2026-02-06,RATE_ASSIGN_,2026-02-06,I,TRN_TYPE_3,C,4864,TXN0000000000000037,012,2026-02-06
MO,CONTRACT_REF_NO_,MAKER_ID_38,2026-02-07,CHECKER_ID_3,2026-02-07,350428,2026-02-07,EVEN,C,A,N,2545,2026-02-07,E,WO,RA,RELEASE_BY_3,2026-02-07,RATE_ASSIGNE,2026-02-07,RATE_ASSIGN_,2026-02-07,I,TRN_TYPE_3,C,1561,TXN0000000000000038,013,2026-02-07
MO,CONTRACT_REF_NO_,MAKER_ID_39,2026-02-08,CHECKER_ID_3,2026-02-08,692880,2026-02-08,EVEN,C,A,N,2761,2026-02-08,E,WO,RA,RELEASE_BY_3,2026-02-08,RATE_ASSIGNE,2026-02-08,RATE_ASSIGN_,2026-02-08,I,TRN_TYPE_3,C,5205,TXN0000000000000039,014,2026-02-08
MO,CONTRACT_REF_NO_,MAKER_ID_40,2026-02-09,CHECKER_ID_4,2026-02-09,549903,2026-02-09,EVEN,C,A,N,8598,2026-02-09,E,WO,RA,RELEASE_BY_4,2026-02-09,RATE_ASSIGNE,2026-02-09,RATE_ASSIGN_,2026-02-09,I,TRN_TYPE_4,C,9023,TXN0000000000000040,015,2026-02-09
MO,CONTRACT_REF_NO_,MAKER_ID_41,2026-02-10,CHECKER_ID_4,2026-02-10,12569,2026-02-10,EVEN,C,A,N,2737,2026-02-10,E,WO,RA,RELEASE_BY_4,2026-02-10,RATE_ASSIGNE,2026-02-10,RATE_ASSIGN_,2026-02-10,I,TRN_TYPE_4,C,948,TXN0000000000000041,016,2026-02-10
MO,CONTRACT_REF_NO_,MAKER_ID_42,2026-02-11,CHECKER_ID_4,2026-02-11,389053,2026-02-11,EVEN,C,A,N,7647,2026-02-11,E,WO,RA,RELEASE_BY_4,2026-02-11,RATE_ASSIGNE,2026-02-11,RATE_ASSIGN_,2026-02-11,I,TRN_TYPE_4,C,9305,TXN0000000000000042,017,2026-02-11
MO,CONTRACT_REF_NO_,MAKER_ID_43,2026-02-12,CHECKER_ID_4,2026-02-12,292601,2026-02-12,EVEN,C,A,N,6860,2026-02-12,E,WO,RA,RELEASE_BY_4,2026-02-12,RATE_ASSIGNE,2026-02-12,RATE_ASSIGN_,2026-02-12,I,TRN_TYPE_4,C,8199,TXN0000000000000043,018,2026-02-12
MO,CONTRACT_REF_NO_,MAKER_ID_44,2026-02-13,CHECKER_ID_4,2026-02-13,823322,2026-02-13,EVEN,C,A,N,5908,2026-02-13,E,WO,RA,RELEASE_BY_4,2026-02-13,RATE_ASSIGNE,2026-02-13,RATE_ASSIGN_,2026-02-13,I,TRN_TYPE_4,C,8480,TXN0000000000000044,019,2026-02-13
MO,CONTRACT_REF_NO_,MAKER_ID_45,2026-02-14,CHECKER_ID_4,2026-02-14,562932,2026-02-14,EVEN,C,A,N,8242,2026-02-14,E,WO,RA,RELEASE_BY_4,2026-02-14,RATE_ASSIGNE,2026-02-14,RATE_ASSIGN_,2026-02-14,I,TRN_TYPE_4,C,2764,TXN0000000000000045,020,2026-02-14
MO,CONTRACT_REF_NO_,MAKER_ID_46,2026-02-15,CHECKER_ID_4,2026-02-15,452958,2026-02-15,EVEN,C,A,N,1508,2026-02-15,E,WO,RA,RELEASE_BY_4,2026-02-15,RATE_ASSIGNE,2026-02-15,RATE_ASSIGN_,2026-02-15,I,TRN_TYPE_4,C,2146,TXN0000000000000046,021,2026-02-15
MO,CONTRACT_REF_NO_,MAKER_ID_47,2026-02-16,CHECKER_ID_4,2026-02-16,304081,2026-02-16,EVEN,C,U,N,2684,2026-02-16,E,WO,RA,RELEASE_BY_4,2026-02-16,RATE_ASSIGNE,2026-02-16,RATE_ASSIGN_,2026-02-16,I,TRN_TYPE_4,C,8486,TXN0000000000000047,022,2026-02-16
MO,CONTRACT_REF_NO_,MAKER_ID_48,2026-02-17,CHECKER_ID_4,2026-02-17,550000,2026-02-17,EVEN,C,A,N,7674,2026-02-17,E,WO,RA,RELEASE_BY_4,2026-02-17,RATE_ASSIGNE,2026-02-17,RATE_ASSIGN_,2026-02-17,I,TRN_TYPE_4,C,4157,TXN0000000000000048,023,2026-02-17
MO,CONTRACT_REF_NO_,MAKER_ID_49,2026-02-18,CHECKER_ID_4,2026-02-18,22430,2026-02-18,EVEN,C,A,N,6462,2026-02-18,E,WO,RA,RELEASE_BY_4,2026-02-18,RATE_ASSIGNE,2026-02-18,RATE_ASSIGN_,2026-02-18,I,TRN_TYPE_4,C,6186,TXN0000000000000049,024,2026-02-18
MO,CONTRACT_REF_NO_,MAKER_ID_50,2026-02-19,CHECKER_ID_5,2026-02-19,221652,2026-02-19,EVEN,C,A,N,378,2026-02-19,E,WO,RA,RELEASE_BY_5,2026-02-19,RATE_ASSIGNE,2026-02-19,RATE_ASSIGN_,2026-02-19,I,TRN_TYPE_5,C,2665,TXN0000000000000050,025,2026-02-19
MO,CONTRACT_REF_NO_,MAKER_ID_51,2026-02-20,CHECKER_ID_5,2026-02-20,690653,2026-02-20,EVEN,C,A,N,2676,2026-02-20,E,WO,RA,RELEASE_BY_5,2026-02-20,RATE_ASSIGNE,2026-02-20,RATE_ASSIGN_,2026-02-20,I,TRN_TYPE_5,C,6520,TXN0000000000000051,001,2026-02-20
MO,CONTRACT_REF_NO_,MAKER_ID_52,2026-02-21,CHECKER_ID_5,2026-02-21,49548,2026-02-21,EVEN,C,A,N,3778,2026-02-21,E,WO,RA,RELEASE_BY_5,2026-02-21,RATE_ASSIGNE,2026-02-21,RATE_ASSIGN_,2026-02-21,I,TRN_TYPE_5,C,3774,TXN0000000000000052,002,2026-02-21
MO,CONTRACT_REF_NO_,MAKER_ID_53,2026-02-22,CHECKER_ID_5,2026-02-22,384,2026-02-22,EVEN,C,A,N,5661,2026-02-22,E,WO,RA,RELEASE_BY_5,2026-02-22,RATE_ASSIGNE,2026-02-22,RATE_ASSIGN_,2026-02-22,I,TRN_TYPE_5,C,966,TXN0000000000000053,003,2026-02-22
MO,CONTRACT_REF_NO_,MAKER_ID_54,2026-02-23,CHECKER_ID_5,2026-02-23,878151,2026-02-23,EVEN,C,A,N,8698,2026-02-23,E,WO,RA,RELEASE_BY_5,2026-02-23,RATE_ASSIGNE,2026-02-23,RATE_ASSIGN_,2026-02-23,I,TRN_TYPE_5,C,700,TXN0000000000000054,004,2026-02-23
MO,CONTRACT_REF_NO_,MAKER_ID_55,2026-02-24,CHECKER_ID_5,2026-02-24,730888,2026-02-24,EVEN,C,A,N,120,2026-02-24,E,WO,RA,RELEASE_BY_5,2026-02-24,RATE_ASSIGNE,2026-02-24,RATE_ASSIGN_,2026-02-24,I,TRN_TYPE_5,C,759,TXN0000000000000055,005,2026-02-24
MO,CONTRACT_REF_NO_,MAKER_ID_56,2026-02-25,CHECKER_ID_5,2026-02-25,103319,2026-02-25,EVEN,C,A,N,6896,2026-02-25,E,WO,RA,RELEASE_BY_5,2026-02-25,RATE_ASSIGNE,2026-02-25,RATE_ASSIGN_,2026-02-25,I,TRN_TYPE_5,C,5259,TXN0000000000000056,006,2026-02-25
MO,CONTRACT_REF_NO_,MAKER_ID_57,2026-02-26,CHECKER_ID_5,2026-02-26,711890,2026-02-26,EVEN,C,A,N,5746,2026-02-26,E,WO,RA,RELEASE_BY_5,2026-02-26,RATE_ASSIGNE,2026-02-26,RATE_ASSIGN_,2026-02-26,I,TRN_TYPE_5,C,5887,TXN0000000000000057,007,2026-02-26
MO,CONTRACT_REF_NO_,MAKER_ID_58,2026-02-27,CHECKER_ID_5,2026-02-27,587968,2026-02-27,EVEN,C,A,N,5236,2026-02-27,E,WO,RA,RELEASE_BY_5,2026-02-27,RATE_ASSIGNE,2026-02-27,RATE_ASSIGN_,2026-02-27,I,TRN_TYPE_5,C,161,TXN0000000000000058,008,2026-02-27
MO,CONTRACT_REF_NO_,MAKER_ID_59,2026-02-28,CHECKER_ID_5,2026-02-28,178296,2026-02-28,EVEN,C,A,N,1546,2026-02-28,E,WO,RA,RELEASE_BY_5,2026-02-28,RATE_ASSIGNE,2026-02-28,RATE_ASSIGN_,2026-02-28,I,TRN_TYPE_5,C,2168,TXN0000000000000059,009,2026-02-28
MO,CONTRACT_REF_NO_,MAKER_ID_60,2026-03-01,CHECKER_ID_6,2026-03-01,826979,2026-03-01,EVEN,C,A,N,1574,2026-03-01,E,WO,RA,RELEASE_BY_6,2026-03-01,RATE_ASSIGNE,2026-03-01,RATE_ASSIGN_,2026-03-01,I,TRN_TYPE_6,C,936,TXN0000000000000060,010,2026-03-01
MO,CONTRACT_REF_NO_,MAKER_ID_61,2026-03-02,CHECKER_ID_6,2026-03-02,323014,2026-03-02,EVEN,C,A,N,4024,2026-03-02,E,WO,RA,RELEASE_BY_6,2026-03-02,RATE_ASSIGNE,2026-03-02,RATE_ASSIGN_,2026-03-02,I,TRN_TYPE_6,C,3967,TXN0000000000000061,011,2026-03-02
MO,CONTRACT_REF_NO_,MAKER_ID_62,2026-03-03,CHECKER_ID_6,2026-03-03,325751,2026-03-03,EVEN,C,A,N,858,2026-03-03,E,WO,RA,RELEASE_BY_6,2026-03-03,RATE_ASSIGNE,2026-03-03,RATE_ASSIGN_,2026-03-03,I,TRN_TYPE_6,C,6200,TXN0000000000000062,012,2026-03-03
MO,CONTRACT_REF_NO_,MAKER_ID_63,2026-03-04,CHECKER_ID_6,2026-03-04,332503,2026-03-04,EVEN,C,A,N,8921,2026-03-04,E,WO,RA,RELEASE_BY_6,2026-03-04,RATE_ASSIGNE,2026-03-04,RATE_ASSIGN_,2026-03-04,I,TRN_TYPE_6,C,7707,TXN0000000000000063,013,2026-03-04
MO,CONTRACT_REF_NO_,MAKER_ID_64,2026-03-05,CHECKER_ID_6,2026-03-05,981812,2026-03-05,EVEN,C,A,N,7617,2026-03-05,E,WO,RA,RELEASE_BY_6,2026-03-05,RATE_ASSIGNE,2026-03-05,RATE_ASSIGN_,2026-03-05,I,TRN_TYPE_6,C,6101,TXN0000000000000064,014,2026-03-05
MO,CONTRACT_REF_NO_,MAKER_ID_65,2026-03-06,CHECKER_ID_6,2026-03-06,397301,2026-03-06,EVEN,C,A,N,1048,2026-03-06,E,WO,RA,RELEASE_BY_6,2026-03-06,RATE_ASSIGNE,2026-03-06,RATE_ASSIGN_,2026-03-06,I,TRN_TYPE_6,C,5874,TXN0000000000000065,015,2026-03-06
MO,CONTRACT_REF_NO_,MAKER_ID_66,2026-03-07,CHECKER_ID_6,2026-03-07,63089,2026-03-07,EVEN,C,A,N,7248,2026-03-07,E,WO,RA,RELEASE_BY_6,2026-03-07,RATE_ASSIGNE,2026-03-07,RATE_ASSIGN_,2026-03-07,I,TRN_TYPE_6,C,3513,TXN0000000000000066,016,2026-03-07
MO,CONTRACT_REF_NO_,MAKER_ID_67,2026-03-08,CHECKER_ID_6,2026-03-08,511789,2026-03-08,EVEN,C,A,N,9446,2026-03-08,E,WO,RA,RELEASE_BY_6,2026-03-08,RATE_ASSIGNE,2026-03-08,RATE_ASSIGN_,2026-03-08,I,TRN_TYPE_6,C,223,TXN0000000000000067,017,2026-03-08
MO,CONTRACT_REF_NO_,MAKER_ID_68,2026-03-09,CHECKER_ID_6,2026-03-09,879416,2026-03-09,EVEN,C,A,N,1063,2026-03-09,E,WO,RA,RELEASE_BY_6,2026-03-09,RATE_ASSIGNE,2026-03-09,RATE_ASSIGN_,2026-03-09,I,TRN_TYPE_6,C,5628,TXN0000000000000068,018,2026-03-09
MO,CONTRACT_REF_NO_,MAKER_ID_69,2026-03-10,CHECKER_ID_6,2026-03-10,451720,2026-03-10,EVEN,C,A,N,6268,2026-03-10,E,WO,RA,RELEASE_BY_6,2026-03-10,RATE_ASSIGNE,2026-03-10,RATE_ASSIGN_,2026-03-10,I,TRN_TYPE_6,C,3672,TXN0000000000000069,019,2026-03-10
MO,CONTRACT_REF_NO_,MAKER_ID_70,2026-03-11,CHECKER_ID_7,2026-03-11,321918,2026-03-11,EVEN,C,U,N,496,2026-03-11,E,WO,RA,RELEASE_BY_7,2026-03-11,RATE_ASSIGNE,2026-03-11,RATE_ASSIGN_,2026-03-11,I,TRN_TYPE_7,C,5631,TXN0000000000000070,020,2026-03-11
MO,CONTRACT_REF_NO_,MAKER_ID_71,2026-03-12,CHECKER_ID_7,2026-03-12,122178,2026-03-12,EVEN,C,A,N,2370,2026-03-12,E,WO,RA,RELEASE_BY_7,2026-03-12,RATE_ASSIGNE,2026-03-12,RATE_ASSIGN_,2026-03-12,I,TRN_TYPE_7,C,2316,TXN0000000000000071,021,2026-03-12
MO,CONTRACT_REF_NO_,MAKER_ID_72,2026-03-13,CHECKER_ID_7,2026-03-13,465022,2026-03-13,EVEN,C,A,N,1046,2026-03-13,E,WO,RA,RELEASE_BY_7,2026-03-13,RATE_ASSIGNE,2026-03-13,RATE_ASSIGN_,2026-03-13,I,TRN_TYPE_7,C,3395,TXN0000000000000072,022,2026-03-13
